"McLean 1990, Spec. Con3"	
-31.572	-9.2212
-30.785	-7.0949
-29.769	-4.1546
-28.778	-1.8104
-27.991	-0.017793
-27.026	2.2019
-26.086	3.8477
-25.197	5.3957
-24.155	6.9704
-23.292	8.2248
-22.377	9.5548
-21.26	11.072
-20.422	11.837
-19.533	12.998
-18.491	14.35
-17.602	15.52
-16.764	16.294
-15.646	17.535
-14.884	18.389
-13.894	19.283
-12.776	20.408
-12.014	21.018
-11.024	21.988
-10.135	22.597
-9.1948	23.304
-8.001	24.336
-7.0612	24.679
-6.2992	25.195
-5.2578	25.982
-4.2418	26.476
-3.3528	26.934
-2.4384	27.423
-1.4986	27.886
-0.4572	28.406
0.5588	28.789
1.5748	29.225
2.54	29.621
3.5814	29.981
4.4704	30.279
5.7404	30.786
6.6548	30.942
7.5692	31.249
8.5852	31.52
9.4996	31.747
10.312	32.058
11.379	32.356
12.344	32.574
13.233	32.85
14.3	33.13
15.215	33.348
16.231	33.629
17.094	33.74
18.059	34.06
19.05	34.394
19.99	34.594
20.904	34.812
21.92	35.065
22.809	35.306
23.774	35.457
24.79	35.813
25.603	35.937
26.619	36.351
27.635	36.422
28.524	36.751
29.54	37.098
30.378	37.071
31.318	37.467
32.41	37.623
33.198	37.77
34.265	37.899
35.077	38.13
36.17	38.281
37.135	38.473
37.998	38.379
37.211	29.585
36.195	26.387
35.306	23.878
34.265	20.858
33.401	18.727
32.487	16.534
31.445	13.963
30.632	12.095
29.743	10.062
28.651	7.9134
27.813	6.0985
26.848	4.3326
25.933	2.8469
25.019	1.2677
24.079	-0.10231
23.012	-1.5569
22.123	-2.6823
20.98	-4.079
20.218	-4.8174
19.329	-5.796
18.186	-7.0326
17.424	-7.9
16.561	-8.9009
15.392	-10.097
14.58	-10.969
13.665	-11.899
12.573	-12.953
11.709	-13.856
10.744	-14.933
9.779	-15.578
8.9408	-16.378
7.7216	-17.344
6.9596	-17.989
6.0706	-18.678
4.9276	-19.563
4.064	-20.15
3.2258	-20.778
2.1336	-21.552
1.2192	-22.103
0.381	-22.637
-0.6096	-23.291
-1.5494	-23.878
-2.4892	-24.43
-3.429	-24.941
