"Kowalsky et al.1996,specimen nr.FL2"	
59.857	28.054
52.307	17.554
44.257	6.881
36.287	-3.726
27.607	-14.266
18.867	-24.816
9.768	-35.176
0.3759	-45.656
-8.853	-56.066
-18.583	-66.466
-28.523	-77.216
-38.953	-87.296
-49.353	-96.516
-59.913	-105.556
-70.373	-114.256
-80.743	-122.456
-91.143	-130.456
-101.443	-137.856
-111.843	-144.956
-122.143	-151.856
-132.343	-157.756
-140.143	-161.256
-136.443	-151.156
-130.443	-140.356
-124.143	-129.756
-117.543	-118.756
-111.043	-108.256
-104.443	-97.556
-97.793	-86.886
-90.883	-75.986
-84.143	-65.356
-77.253	-54.726
-70.023	-43.976
-62.613	-33.216
-55.013	-22.616
-47.023	-12.226
-38.623	-1.50739
-29.913	9.444
-21.323	19.884
-12.793	30.434
-3.729	40.984
5.172	51.424
14.897	62.224
24.377	72.814
34.627	83.554
45.127	93.934
55.497	103.644
66.257	112.744
76.867	120.944
87.257	128.344
97.607	135.744
107.857	143.044
118.257	149.944
128.557	156.444
138.757	161.644
140.157	161.244
137.957	150.844
131.357	140.644
125.457	130.244
119.157	119.544
112.657	108.544
106.057	97.704
99.217	86.674
92.407	75.674
85.537	64.894
78.817	54.414
71.557	43.334
64.267	32.574
57.057	21.934
49.177	11.384
41.367	0.449
32.697	-10.235
24.167	-21.166
15.087	-31.936
5.7	-42.476
-3.834	-53.086
-13.663	-63.606
-24.143	-74.256
-34.753	-84.356
-45.223	-93.616
-55.883	-102.356
-66.263	-110.556
-76.643	-118.556
-86.983	-126.156
-97.203	-133.456
-107.543	-140.356
-117.643	-146.856
-127.843	-153.056
-137.943	-157.756
-140.043	-158.656
-137.243	-148.456
-131.243	-137.956
-125.143	-127.656
-118.843	-117.256
-112.543	-106.856
-105.943	-96.536
-99.443	-86.226
-92.943	-75.796
-86.023	-65.016
-78.873	-53.886
-71.593	-43.036
-64.143	-32.156
-56.333	-21.116
-47.983	-10.309
-39.373	0.336
-30.713	10.884
-21.693	21.584
-12.653	32.074
-3.363	42.504
6.153	53.144
16.167	63.594
25.967	73.864
36.107	84.394
46.477	94.154
57.027	103.444
67.327	111.644
77.797	119.644
88.107	127.344
98.577	134.744
108.957	141.944
119.457	148.644
129.857	155.444
140.357	161.444
150.557	166.244
160.957	169.844
171.357	171.544
181.457	172.044
191.657	172.444
201.857	168.944
210.357	168.444
208.857	158.344
204.257	148.044
197.957	137.544
191.557	127.144
184.957	116.444
178.157	105.544
171.057	94.474
163.957	83.704
156.757	72.764
149.357	61.884
141.557	50.874
133.557	40.104
125.557	29.624
116.857	18.924
107.357	8.108
