"Wong et al. 1990, Spec. 1"	
1.8487	172.79
4.2017	201.35
7.2268	231.33
10.168	264.18
12.941	282.74
16.051	314.16
18.319	335.58
21.176	359.86
23.697	374.14
26.386	395.56
28.908	409.84
30.589	418.4
33.025	428.4
35.126	431.26
37.142	432.68
39.411	424.12
40.841	418.4
41.427	396.99
41.008	367
40.589	347.01
39.748	299.88
38.824	271.32
37.983	234.19
36.807	195.64
35.547	158.51
34.707	134.23
33.531	97.105
32.017	65.687
30.335	35.7
28.067	0
25.294	-37.128
22.521	-57.12
19.328	-69.971
15.966	-94.249
12.689	-117.1
10.336	-139.95
6.4707	-167.08
3.4453	-187.07
0.67226	-208.49
-1.5966	-222.77
-3.6134	-235.62
-6.8067	-258.47
-8.5715	-274.18
-10.588	-282.74
-13.025	-294.17
-16.975	-328.44
-19.496	-352.72
-22.857	-378.42
-25.21	-388.41
-27.983	-395.56
-29.497	-399.84
-31.933	-409.84
-35.377	-408.41
-36.723	-408.41
-38.824	-396.99
-39.581	-382.7
-40.673	-352.72
-40.251	-324.16
-39.581	-291.31
-38.824	-257.04
-37.648	-219.91
-36.218	-178.5
-34.79	-138.52
-33.109	-91.393
-31.849	-57.12
-30	-24.276
-28.489	-2.856
-26.469	24.276
-24.37	48.552
-20.756	65.687
-18.319	78.542
-15.546	97.105
-12.773	115.67
-10.084	131.38
-7.8991	147.08
-5.2941	165.65
-3.1092	179.93
-0.084033	195.64
1.5126	208.49
3.6134	225.62
6.7226	247.05
8.9075	259.9
11.345	272.75
14.706	289.89
17.815	309.88
20.252	322.73
23.529	338.43
25.378	344.15
28.489	352.72
31.26	359.86
33.698	364.14
36.556	365.57
38.908	364.14
40.757	349.86
41.008	331.29
40.168	302.74
39.581	274.18
38.489	235.62
37.142	189.93
35.799	148.51
34.707	109.96
33.025	78.542
31.26	54.264
28.824	11.424
26.64	-21.42
24.79	-37.128
22.941	-47.124
20.84	-59.975
17.983	-71.398
14.622	-89.965
10.924	-115.67
7.5631	-135.66
4.874	-154.22
1.9328	-168.5
-1.1765	-192.78
-4.5377	-215.63
-7.5631	-229.91
-11.261	-249.9
-13.697	-261.32
-16.134	-271.32
-19.16	-282.74
-21.092	-295.6
-23.613	-295.6
-25.715	-297.03
-27.899	-304.16
-30.084	-304.16
