"Chai, Priestley and Seible 1991, TEST 3"	
-107.467	-216.084
-96.876	-171.292
-86.182	-129.303
-73.914	-85.98
-58.318	-42.123
-38.278	4.092
-24.105	26.021
-8.026	47.772
1.499	68.988
10.058	90.472
20.98	112.045
26.492	121.252
36.017	136.598
46.609	152.967
56.363	167.289
67.005	179.877
76.81	189.663
86.741	199.27
97.053	208.389
107.137	214.972
112.522	217.507
117.297	217.774
121.996	215.817
127.152	216.751
132.207	216.306
137.643	214.305
137.084	200.204
132.207	177.964
121.107	134.285
108.229	90.472
92.659	47.638
70.409	3.114
55.016	-19.66
35.128	-41.233
9.804	-63.473
-4.293	-85.713
-16.637	-107.419
-26.086	-122.187
-36.068	-138.288
-46.584	-155.102
-56.871	-170.981
-66.548	-183.035
-76.581	-194.956
-86.868	-207.499
-96.622	-217.952
-107.594	-227.56
-112.42	-231.074
-117.323	-233.742
-122.199	-235.566
-127.381	-236.767
-132.563	-237.212
-137.617	-234.276
-136.982	-216.128
-126.975	-171.204
-116.459	-130.237
-103.175	-86.38
-86.716	-41.722
-58.268	3.959
-36.982	25.709
-12.573	47.193
0.025	68.855
11.786	91.673
23.241	107.597
26.01	110.889
35.839	122.676
46.177	134.552
56.134	145.494
66.294	154.479
76.606	162.041
86.843	168.98
96.977	174.851
107.823	178.187
117.17	178.498
127.559	177.92
137.516	172.538
136.119	155.636
130.734	134.063
117.932	91.051
101.498	47.282
79.451	3.114
59.944	-19.705
28.397	-41.277
0.025	-63.918
-17.856	-85.802
-40.056	-107.686
-42.875	-110.978
-51.664	-121.519
-64.211	-134.33
-72.593	-142.069
-87.147	-156.036
-97.561	-164.354
-107.696	-168.935
-117.653	-169.736
-127.889	-167.423
-134.188	-166.266
-139.014	-165.688
-135.484	-129.17
-122.555	-85.935
-105.435	-42.034
-69.088	3.603
-31.115	25.62
-2.362	47.816
18.085	68.677
26.391	75.127
35.789	81.665
46.33	90.116
56.286	98.701
66.396	106.574
76.581	114.091
86.716	121.964
96.901	129.481
106.985	135.842
117.297	141.135
127.33	144.827
137.668	147.807
137.744	134.152
125.552	90.917
109.195	47.594
76.987	3.558
34.747	-19.171
-1.905	-41.589
-29.464	-60.626
-45.517	-71.479
-56.921	-79.486
-67.488	-85.624
-77.292	-91.851
-86.741	-98.301
-97.003	-105.907
-108.052	-113.513
-117.602	-119.518
-127.305	-124.766
-137.77	-129.081
-135.966	-107.464
-129.286	-85.357
-121.793	-64.051
-112.166	-41.678
-97.155	-18.993
-66.599	3.647
