"Sritharan 1996_Specimen_No._IC2"	
-37.4522	78.95
-32.3022	89.35
-27.2922	99.66
-22.2822	109.88
-17.1222	120.46
-12.0922	131.46
-6.9902	141.06
-2.0562	148.66
2.9728	158.46
8.1158	166.86
13.1878	174.16
18.2678	182.06
23.2778	190.86
28.3378	198.96
33.2378	204.46
38.4978	213.76
41.6178	216.06
46.7978	226.16
51.8078	231.46
56.8578	240.06
61.8578	249.16
67.0178	259.76
72.1178	267.66
77.2578	275.66
82.3878	284.26
87.4578	291.16
92.5078	299.56
97.6078	305.76
102.6674	313.66
107.7674	319.86
112.7674	325.46
117.7674	330.86
119.0674	329.06
119.3674	327.06
119.3674	324.56
116.9674	283.46
113.0674	242.36
108.9674	201.56
104.2674	162.46
99.2778	121.56
94.1978	85.67
89.1578	54.37
84.1378	28.94
78.8878	4.738
73.8678	-12.42
68.8078	-23.45
63.7378	-30.73
58.7178	-37.79
53.6578	-46.49
48.6478	-53.98
43.6278	-62.93
38.5578	-72.3
33.4478	-80.59
28.2278	-89.34
23.1778	-97.74
18.1078	-107.14
13.1778	-114.14
8.0208	-122.44
3.0398	-129.24
-2.0282	-136.94
-7.1002	-145.24
-12.1722	-153.84
-17.2222	-160.64
-22.2722	-167.84
-27.4822	-175.44
-32.4822	-182.64
-37.5122	-191.34
-42.6322	-198.54
-47.7222	-207.54
-52.8822	-214.94
-57.9222	-223.74
-63.0022	-205.04
-68.1422	-213.54
-73.2722	-222.54
-78.3722	-199.34
-83.3722	-206.14
-88.4122	-211.74
-93.5322	-218.04
-98.6326	-223.64
-103.7326	-228.84
-108.7326	-231.64
-113.7326	-236.14
-118.7326	-239.64
-120.5326	-233.74
-120.6326	-231.64
-117.3326	-190.24
-112.3326	-151.54
-107.3326	-118.04
-102.3326	-88.74
-97.2422	-62.18
-92.2422	-40.7
-87.1722	-23.57
-82.1322	-8.28
-76.9922	4.554
-72.0022	13.3166
-66.9522	20.471
-61.8822	25.85
-56.7922	30.46
-51.7922	35.21
-46.7522	40.31
-41.6522	46.08
-36.6422	52.09
-31.5422	59.18
-26.5222	65.19
-21.3722	71.97
-16.3722	79.08
-11.3122	87.11
-6.2422	94.94
-1.2662	102.52
-0.6702	102.41
