"Sritharan 1996_Specimen_No._IC2"	
-4.8512	-79.38
-6.8692	-94.14
-8.9312	-110.24
-10.9522	-126.54
-13.0122	-143.94
-14.9922	-161.14
-17.0122	-181.64
-19.0122	-200.14
-21.0122	-220.24
-23.0422	-239.34
-25.0622	-257.24
-27.0722	-275.94
-29.0822	-292.14
-29.9422	-297.74
-30.2522	-297.14
-30.2722	-296.84
-29.6122	-275.74
-28.6722	-255.64
-27.6822	-235.54
-26.5322	-214.24
-25.3922	-194.34
-24.1822	-174.04
-22.9822	-153.74
-21.6522	-133.34
-20.3522	-113.24
-18.9422	-92.34
-17.5222	-73.3
-15.8422	-52.5
-13.8022	-33.13
-11.7922	-16.54
-9.7622	-1.91
-7.6752	12.275
-5.6502	28.64
-3.5942	45.38
-1.6102	59.89
0.4159	75.71
2.4198	90.42
4.4668	105.85
6.6448	122.76
8.6118	137.26
10.6278	154.36
12.6778	173.96
14.6078	193.76
16.3878	214.26
18.2078	234.56
20.0078	255.26
21.9778	276.56
23.7878	296.96
25.6278	316.96
27.6478	335.96
29.6678	354.76
31.7278	374.56
33.7378	383.26
35.7278	388.76
37.7178	391.26
39.3178	395.06
39.5478	394.86
41.5878	404.56
43.5578	402.46
44.2178	399.96
44.4178	398.76
44.2478	377.36
43.3278	356.56
42.2578	336.46
41.0678	315.86
39.8878	295.46
38.6678	274.56
37.4878	254.56
36.2378	234.56
34.9278	214.56
33.5678	192.96
32.1378	171.36
30.7878	151.36
29.3678	130.56
27.8078	110.17
26.1578	89.82
24.4878	69.52
22.7278	49.03
21.0078	29.1
18.9278	9.579
16.8078	-8.35
14.7978	-19.25
12.7678	-30.48
10.7278	-39.96
8.6618	-50.49
6.6548	-61.61
4.6088	-72.96
2.4908	-85.2
0.5239	-96.04
-1.6192	-107.64
-3.6642	-118.74
-5.7472	-129.64
-7.8282	-140.44
-9.9222	-152.14
-11.8922	-162.04
-14.0422	-177.14
-16.0722	-190.44
-18.1322	-204.34
-20.1522	-219.74
-22.1422	-235.44
-24.2022	-251.54
-26.2022	-266.94
-28.3222	-284.24
-30.4022	-298.84
-32.4722	-312.54
-34.5122	-324.74
-36.6122	-337.44
-38.6722	-348.74
-40.6622	-357.64
-42.6722	-367.84
-44.6922	-370.64
-45.2822	-370.44
-45.3322	-369.44
-44.8922	-345.74
-44.0422	-327.44
-42.8922	-304.14
-41.8922	-284.14
-40.7322	-263.94
-39.4922	-242.94
-38.2822	-223.04
-37.0022	-201.34
-35.7922	-181.64
-34.5022	-160.94
-33.0122	-140.44
-31.5922	-119.74
-30.0622	-99.34
-28.4722	-78.8
-26.6722	-58.52
-24.6122	-38.22
-22.5922	-23.14
-20.5722	-8.56
-18.4522	3.53
-16.4122	14.8792
-14.3922	28.01
-12.3722	39.67
-10.3122	51.58
-8.2282	63.64
-6.2122	74.61
-4.1722	84.84
-2.0642	95.89
-0.0778	106.11
1.9748	115.66
3.9848	125.76
6.0148	135.56
8.0378	146.16
10.1188	157.66
12.2078	168.66
14.3078	181.46
16.2878	193.46
18.3378	208.26
20.4378	223.66
22.5378	239.66
24.5578	254.76
26.6578	271.16
28.6878	287.46
30.7078	301.36
32.7178	315.66
34.7378	329.56
36.7678	343.06
38.8078	357.06
40.8178	369.56
42.8178	379.16
44.7178	383.06
43.8178	362.56
42.7478	341.76
41.6278	321.86
40.4378	301.46
39.1878	280.46
37.8578	260.16
36.5778	239.76
35.2578	219.66
33.9578	199.16
32.5578	178.66
31.1178	157.66
29.5878	136.36
28.0578	116.26
26.4078	95.4
24.7178	75.42
22.7578	53.85
20.6578	32.83
18.6478	14.8026
16.5778	-1.37
14.4278	-13.92
12.3578	-26.04
10.3578	-35.68
8.3198	-45.51
6.2678	-57.26
4.2798	-68.31
2.2148	-80.15
0.1333	-91.24
-1.9302	-102.74
-3.9652	-113.54
-6.1532	-126.24
-8.0672	-134.84
-10.0722	-144.94
-12.1522	-156.04
-14.2522	-168.24
-16.3522	-179.24
-18.3522	-190.64
-20.4622	-205.04
-22.4022	-217.44
-24.4822	-233.14
-26.5322	-247.64
-28.6122	-263.14
-30.5622	-275.44
-32.5922	-290.34
-34.6322	-304.34
-36.6922	-318.74
-38.7422	-330.04
-40.7722	-342.94
-42.7722	-354.64
-44.8022	-362.74
-45.2622	-360.84
-44.2422	-339.94
-43.3122	-320.04
-42.2822	-299.54
-41.1322	-278.14
-40.0422	-258.64
-38.7522	-237.64
-37.5422	-217.34
-36.2822	-196.54
-34.9722	-176.24
-33.5222	-155.14
-32.0922	-134.04
-30.6622	-114.34
-29.1622	-94.34
-27.4322	-73.22
-25.5322	-52.53
-23.4922	-35.29
-21.3922	-19.36
-19.1922	-4.25
-17.1422	6.637
-15.1122	18.449
-13.0722	30.51
-11.0322	43.11
-9.0522	54.66
-6.9752	65.51
-4.9182	77.34
-2.9052	87.83
-0.8192	99.49
1.2493	108.16
3.2698	118.86
5.2988	128.86
7.3108	139.26
9.3818	150.16
11.4078	161.06
13.4378	171.56
15.4678	181.86
17.4978	194.96
19.4778	208.26
21.5978	223.76
23.6578	239.36
25.6578	253.36
27.7078	269.06
29.7178	283.86
31.8078	299.06
33.8278	313.36
35.8678	327.96
37.8578	339.86
39.9278	354.96
41.9178	365.86
43.9278	375.16
44.7478	377.66
44.7878	357.76
43.4778	336.36
42.2178	314.76
41.0078	294.26
39.6678	272.66
38.3478	251.76
36.9578	229.76
35.6078	209.36
34.2478	189.16
32.6978	166.36
31.1778	145.36
29.6778	124.96
28.0778	104.88
26.3178	84.2
24.4378	63.26
22.3978	42.67
20.3178	23.458
18.2078	6.27
16.1278	-8.61
14.0778	-18.82
11.9678	-31
9.9408	-39.95
7.8808	-50.84
5.8288	-62.38
3.6548	-74.54
1.6258	-85.11
-0.3794	-95.94
-2.4112	-107.44
-4.4382	-118.04
-6.5202	-128.54
-8.5342	-138.54
-10.6122	-149.44
-12.6022	-158.74
-14.7522	-171.24
-16.7722	-181.34
-18.7722	-193.74
-20.8422	-206.14
-22.8622	-219.34
-24.9722	-234.74
-27.0322	-248.54
-29.0422	-263.54
-31.1522	-278.94
-33.2222	-293.24
-35.2122	-304.94
-37.1822	-317.94
-39.3022	-331.44
-41.3622	-342.44
-43.3622	-355.14
-45.1722	-359.04
-45.2022	-357.64
-44.8722	-336.74
-43.9422	-316.94
-42.9222	-295.94
-41.9222	-276.04
-40.7322	-255.14
-39.5522	-235.44
-38.3122	-214.84
-37.0422	-194.34
-35.7022	-173.74
-34.3422	-153.74
-32.8622	-132.54
-31.3722	-111.94
-29.7522	-91.14
-27.9922	-70.8
-25.9722	-49.62
-23.9022	-32.95
-21.8622	-18.61
-19.8822	-5.96
-17.8522	5.029
-16.4122	11.877
-13.7322	25.42
-14.5322	8.001
-15.4022	-17.06
-15.4022	4.431
-15.7322	13.2247
-15.7322	13.9753
-15.7322	11.264
-15.7222	13.4698
-15.7222	11.402
-15.6822	13.577
-15.7422	17.269
-15.7522	19.276
-15.7522	13.96
-15.7422	11.585
-15.7722	9.701
-15.7722	11.693
-15.7722	10.099
-15.7722	11.432
-15.7622	10.452
-15.7622	11.892
-15.7622	10.023
-15.7822	11.555
-15.7822	9.793
-15.7922	12.474
-15.8022	10.728
-15.8022	12.428
-15.7722	14.0979
-15.7822	13.0102
-15.7722	14.1898
-15.7722	12.351
-15.7722	13.194
-15.7822	12.888
-15.7822	13.7302
-15.7822	12.872
-15.7822	14.5115
-15.7822	12.9949
-15.7822	13.8068
-15.7822	12.183
-15.7822	14.0519
-15.7622	13.1021
-15.7722	13.9447
-15.7622	13.3472
-15.7622	10.62
-15.7722	12.597
-15.4422	15.385
-15.2622	17.637
-14.9622	21.007
-14.7922	23.167
-14.6422	25.53
-14.5422	27.64
-14.3722	28.41
-14.0422	31.09
-13.8122	33.45
-13.6322	35.47
-13.4022	37.87
-13.2222	40.06
-13.0222	41.9
-12.8222	44.42
-12.5822	46.25
-12.3422	48.6
-12.1022	50.9
-11.8322	53.18
-11.5722	55.69
-11.4322	57.61
-11.1422	60.29
-10.9722	62.25
-10.5822	65.59
-10.3022	68.28
-9.9822	71.67
-9.7222	74.06
-9.4022	76.07
-9.0222	78.12
-8.5622	81.07
-8.1472	83.2
-7.6902	85.44
-7.3192	87.62
-6.7042	89.76
-6.2282	92.09
-5.7812	94.23
-5.1382	96.52
-4.7762	98.68
-4.2422	100.87
-3.7902	102.87
-3.3282	105
-2.7752	107.15
-2.4322	109.48
-1.9712	111.76
-1.4752	113.81
-0.9042	116.36
-0.3802	118.46
0.0958	120.46
0.6344	122.56
1.082	125.06
1.7012	127.26
2.0774	129.56
2.6588	131.56
3.0488	134.06
3.5488	136.06
4.1018	138.46
4.5678	140.56
4.9068	142.66
5.3488	144.86
5.9588	146.86
6.4728	144.76
6.5348	146.76
6.5638	143.46
6.7448	145.86
6.9068	147.96
7.1208	150.26
7.4498	153.16
7.7968	155.36
8.2258	157.66
8.6688	159.96
9.1168	161.96
9.6448	165.16
10.1408	167.36
10.6408	169.86
11.0828	172.36
11.7578	175.26
12.1978	178.36
12.6878	180.46
13.0978	182.46
13.4978	184.96
13.9578	187.06
14.4678	189.26
14.8478	191.46
15.4178	194.16
15.8578	196.66
16.2678	199.16
16.6778	201.66
17.2678	204.06
17.6278	206.76
18.0778	209.36
18.3878	212.26
18.8578	214.36
19.1578	216.66
19.7078	219.16
20.0178	221.56
20.4478	223.86
20.6878	226.16
21.0678	228.56
21.3478	230.86
21.7378	232.76
22.1278	235.96
22.4678	239.26
22.8878	241.56
23.1978	244.06
23.4978	246.36
23.8178	248.56
24.3078	251.06
24.5978	253.56
24.9378	256.26
25.1878	258.36
25.7778	260.66
26.0478	263.66
26.2878	265.66
26.6178	267.96
27.0478	270.06
27.2578	272.16
27.5678	274.16
27.8978	276.26
28.0978	278.36
28.4678	280.56
28.7178	282.86
28.9878	285.06
29.3478	287.46
29.7378	289.76
29.9978	292.06
30.3478	294.26
30.6778	296.46
30.9478	298.56
31.2178	300.96
31.5478	303.06
31.7678	305.26
32.1578	307.56
32.6878	310.66
32.9878	314.16
33.3378	316.66
33.7278	318.86
34.0378	321.06
34.4478	323.76
34.7278	325.76
35.0578	327.86
35.4078	330.36
35.7578	332.76
36.0778	335.36
36.4278	337.96
36.7578	340.46
37.2478	342.56
37.6278	344.76
37.8478	347.06
38.1678	349.46
38.5678	352.26
38.7578	354.36
39.2378	356.36
39.6878	358.46
39.9478	360.76
40.2078	362.96
40.7178	365.06
41.1878	368.26
41.5378	370.86
41.8078	372.66
42.1178	374.76
42.4778	376.86
42.8778	379.16
43.3078	381.26
43.7478	383.46
44.1378	385.56
44.6378	387.56
45.0178	389.96
45.6678	392.06
46.3878	394.06
46.8878	396.06
47.7478	398.16
48.4078	400.26
49.4578	402.26
50.0578	404.36
51.6578	406.46
52.3078	408.56
53.6978	410.66
55.3578	412.86
57.8478	414.76
58.8478	412.56
59.0678	410.96
59.3078	409.36
59.3678	407.96
59.4478	406.46
59.4478	404.36
59.4478	401.56
59.4278	400.46
59.4178	397.36
59.4178	395.26
59.4178	397.36
59.4278	395.36
59.4278	397.06
59.4178	396.06
59.4378	397.16
59.4278	396.46
59.4278	392.96
59.4278	394.96
59.4278	392.86
59.4178	395.16
59.4178	392.76
59.4078	391.06
59.4278	393.06
59.4278	395.06
59.4278	393.06
59.4278	390.96
59.4178	393.06
59.4278	391.26
59.4278	393.26
59.4278	390.86
59.4178	392.26
59.4278	394.96
59.4278	393.96
59.4278	395.56
59.4278	393.36
59.2878	390.96
59.1978	388.86
59.0578	386.16
58.9178	383.16
58.8078	381.06
58.7078	378.56
58.5878	376.46
58.4378	373.26
58.3178	370.76
58.1578	367.96
58.0278	365.26
57.8978	363.06
57.7378	360.36
57.5678	357.76
57.4378	355.46
57.3178	353.56
57.2078	351.36
57.0878	349.26
56.9278	346.86
56.7878	344.46
56.6378	342.26
56.5178	339.66
56.3678	337.66
56.2278	335.26
56.0578	332.66
55.9378	330.46
55.8078	328.26
55.6678	326.06
55.5278	323.96
55.3478	321.56
55.2278	319.56
55.0878	317.26
54.9278	315.16
54.7878	312.66
54.6378	310.36
54.4878	308.26
54.3378	306.16
54.2178	303.96
54.0578	301.56
53.8778	298.96
53.7278	296.86
53.5778	294.76
53.4678	292.66
53.3278	290.56
53.1978	288.46
53.0678	286.16
52.9078	283.86
52.7778	281.56
52.6278	279.46
52.4478	276.66
52.3178	274.46
52.1278	271.76
51.9778	269.56
51.8378	267.36
51.6678	264.66
51.4778	262.06
51.3578	259.96
51.2078	257.86
51.0778	255.86
50.9178	253.56
50.7678	251.26
50.5878	248.76
50.4178	246.46
50.2678	244.26
50.1278	242.26
49.9778	239.96
49.7978	237.56
49.6578	235.46
49.4978	233.36
49.3578	231.26
49.1778	228.66
48.9778	225.96
48.7678	223.26
48.6078	221.06
48.4278	218.66
48.2778	216.36
48.1078	214.06
47.9378	211.86
47.7978	209.46
47.6178	206.96
47.4578	204.86
47.2978	202.56
47.1278	200.36
46.9778	198.26
46.8278	196.16
46.6678	193.96
46.4878	191.46
46.2878	188.76
46.1078	186.06
45.8978	183.36
45.7178	181.06
45.5578	178.96
45.3578	176.16
45.1378	173.26
44.9178	170.46
44.7278	168.16
44.5178	165.66
44.3278	163.36
44.1478	160.66
43.9478	157.76
43.8178	156.06
43.5878	153.26
43.4478	151.36
43.2378	148.66
43.0678	146.46
42.8478	143.66
42.6878	141.76
42.4378	138.56
42.2778	136.56
42.0778	134.26
41.8878	132.06
41.7078	129.66
41.5278	127.76
41.3678	125.26
41.1578	122.46
40.9678	120.16
40.7578	118.16
40.4578	115.26
40.2778	113.17
40.1078	111.05
