"Ng 1978, Spec. 2"	
93.205	28.215
93.017	27.517
92.263	26.26
91.697	25.282
90.942	23.885
91.13	22.768
90.564	21.371
90.185	20.393
89.243	19.136
88.301	17.32
87.734	15.923
86.789	14.387
85.847	13.409
84.148	11.733
83.017	10.616
82.639	10.057
81.697	8.7999
80.564	7.9619
79.809	6.9837
78.676	6.1457
77.356	5.4473
76.035	4.4696
74.15	3.4919
72.829	2.6539
71.318	1.5365
69.621	0.5587
68.489	0
66.035	-1.1174
64.338	-1.9555
61.885	-3.2126
58.867	-4.1904
56.792	-5.1679
54.905	-6.006
52.263	-6.5647
50	-7.4032
47.922	-8.2412
45.471	-9.3586
44.526	-9.4983
42.451	-10.197
39.433	-11.454
37.168	-12.292
35.283	-12.711
33.396	-13.549
30	-14.387
27.358	-15.085
24.716	-15.784
21.697	-16.901
18.301	-17.879
16.037	-17.879
13.019	-18.996
10.566	-19.275
8.6789	-19.834
6.7922	-20.253
4.7168	-20.533
2.4528	-21.231
1.3207	-21.231
-1.6981	-21.511
-3.7734	-21.79
-6.415	-22.209
-8.3017	-22.488
-10.377	-23.047
-13.396	-23.187
-14.905	-23.606
-17.169	-23.885
-19.245	-24.025
-21.697	-24.444
-25.094	-24.723
-27.925	-24.584
-29.434	-24.863
-31.13	-25.003
-33.962	-25.142
-36.792	-25.701
-39.055	-25.841
-41.13	-26.26
-44.526	-26.399
-45.659	-26.679
-47.734	-26.958
-50.188	-26.958
-51.697	-27.098
-54.338	-27.237
-55.847	-27.517
-57.734	-27.656
-59.997	-27.796
-61.13	-27.796
-64.15	-28.215
-65.281	-27.936
-67.546	-28.215
-69.243	-28.215
-71.885	-28.215
-74.526	-27.936
-77.922	-27.656
-79.431	-27.098
-81.318	-26.818
-82.639	-26.399
-85.281	-26.399
-87.734	-26.12
-90.752	-26.12
-93.205	-25.98
-96.035	-26.12
-97.356	-25.701
-100.19	-26.26
-103.02	-26.26
-104.71	-26.399
