"Graff, 2001, C5"	
5014	
-13.49314228	-119.8806127
-13.21636849	-118.0850323
-13.00669136	-116.0248917
-12.81043356	-113.9850435
-12.59236935	-112.094267
-12.37095032	-109.8749975
-12.19482153	-108.1142623
-11.97172508	-106.2823292
-11.73520927	-104.3959198
-11.49533866	-102.6574559
-11.27559703	-100.8878844
-11.03908122	-99.33758116
-10.84450087	-97.36335347
-10.5526303	-95.71023604
-10.40669501	-93.95524268
-10.14669538	-92.28116261
-9.982308534	-90.40525484
-9.801147479	-88.54811255
-9.519341439	-87.15955488
-9.255986974	-85.50142055
-9.157019354	-83.85300322
-8.843342384	-82.59041664
-8.631987841	-81.13142621
-8.366955961	-79.48542171
-8.215988419	-77.99140809
-7.920763051	-76.64378365
-7.73792458	-74.9121123
-7.491344301	-73.28538764
-7.29173167	-71.62292627
-7.132377048	-70.2545937
-6.931087001	-68.53642719
-6.647603545	-66.85803522
-6.434571586	-65.40894223
-6.157797768	-63.54754468
-5.954830331	-61.89806676
-5.74683062	-60.17171297
-5.560637342	-58.42914705
-5.361024711	-56.31711673
-5.119476655	-54.41394131
-4.898057616	-52.58604912
-4.733670746	-50.35457875
-4.451864706	-48.28645113
-4.270703676	-46.08269934
-3.978833114	-43.72190086
-3.794317227	-41.47495503
-3.70038188	-40.05971179
-3.529285347	-37.52623704
-3.218963209	-35.16922644
-3.173672952	-33.59360196
-2.957286161	-31.0648614
-2.8331573	-29.46875691
-2.618447925	-26.66011407
-2.3198677	-23.65035787
-2.323222532	-22.0373701
-2.157158246	-20.76892715
-2.083351917	-19.13112347
-1.917287631	-17.42499554
-1.831739364	-15.93405541
-1.776384585	-14.35551218
-1.543223634	-12.91280877
-1.514707537	-11.24016393
-1.373804517	-9.564412633
-1.321804595	-7.782159434
-1.150708062	-6.206454363
-1.050063051	-4.548647145
-1.011482458	-3.012133455
-0.852127836	-1.227557182
-0.731353808	0.588052473
-0.392515573	2.066387028
-0.343870483	3.677830906
-0.11574178	5.127689193
-0.149290126	6.969831022
0.00838708	8.756522233
0.152644958	10.4589989
0.228128703	12.04739681
0.285160898	13.9379861
0.402580069	15.61921653
0.595483036	17.31112631
0.687740966	19.06045595
0.763224737	20.99444187
0.815224659	22.75362956
1.03999853	24.38575128
1.097030724	26.15053254
1.184256407	27.98326605
1.310062683	29.70443798
1.459352784	31.31640673
1.518062369	33.2383922
1.633804149	34.74807878
1.771352337	36.72387275
1.887094118	38.33149323
1.952513392	40.00953911
2.033029386	41.643018
2.232642017	43.04864539
2.331609612	44.54945717
2.438964312	46.15387458
2.462448136	47.86356081
2.640254359	49.2462829
2.750963866	50.61284278
2.828125052	52.34587254
3.00593125	53.80233829
3.052898923	55.23493883
3.213930961	56.61142311
3.26257605	58.11658994
3.450446744	59.52629531
3.485672505	60.97615919
3.611478782	62.47992543
3.851349422	65.22315113
3.923478335	66.76265126
4.003994354	68.07926472
4.206961817	70.24127489
4.369671271	71.69338057
4.421671192	73.2069498
4.572638734	74.94727855
4.674961161	76.33209145
4.815864181	77.76857514
4.909799528	79.07886719
5.151347584	81.57490605
5.44992781	83.85825563
5.612637263	86.40064239
5.810572453	88.45791373
6.045410845	90.36224471
6.278571796	92.28328245
6.442958666	94.33104249
6.716377626	96.24118767
6.885796744	97.99261286
7.088764207	99.93543646
7.342054175	101.6373094
7.551731302	103.3701176
7.742956828	104.9084397
8.033149974	106.5918547
8.246181933	108.3305831
8.440762316	109.8732725
8.611858849	111.4071019
8.890310058	112.8499315
9.074825919	114.6140193
9.252632142	116.0270598
9.586438104	117.5484332
9.807857143	119.5494318
10.07288905	120.9615142
10.33288868	122.1707088
10.5341787	123.6073865
10.69521074	125.0138213
11.03740381	126.2648788
11.19675843	127.8087753
11.44669357	129.1280439
11.73017702	130.869674
11.86772521	132.3727715
12.18475704	133.5298324
12.33069231	134.8196714
12.63430478	135.9397127
12.79198199	137.3511002
13.15765888	138.9059023
13.5451422	140.7620489
13.84539984	142.3333585
14.12049624	144.0994559
14.53146339	145.6526176
14.86023713	147.2118803
15.17726893	148.6948446
15.19572054	145.9908107
14.95417248	144.4150727
14.92230158	142.7562509
14.79817272	141.1512492
14.72268894	139.6633635
14.56501174	138.3377593
14.4610119	136.9021003
14.33017337	135.5342247
14.07352857	133.0884587
13.96617387	131.6668065
13.75481933	129.1504972
13.58875504	126.8740318
13.34888443	124.7434322
13.16436857	122.6476162
12.94630436	120.6161983
12.68294987	118.8248478
12.48836951	117.0667091
12.2904343	114.8617929
12.03546691	113.1900204
11.8559833	111.0081245
11.77043503	108.7920133
11.39972589	106.2280794
11.05250055	103.3090241
10.70359782	100.2493088
10.36140475	97.69361875
9.968889181	95.09072615
9.732373398	92.20877662
9.354954569	89.37529066
9.002697006	86.97402431
8.796374711	83.86658476
8.383730121	81.37186254
8.083472479	78.37601216
7.769795509	75.55161213
7.338699343	72.9387495
7.093796455	69.95026536
6.825409743	66.81120059
6.503345667	64.50707063
6.228249291	62.1718576
6.033668933	60.00500361
5.751862868	57.72533006
5.558959926	55.59143046
5.290573188	53.40028308
5.132896008	51.18279938
4.869541518	48.94063855
4.641412815	46.69106569
4.48373561	44.24392003
4.272381092	42.03267154
4.007349186	39.46397754
3.769155987	37.09812451
3.57625302	34.40768874
3.326317909	31.6588582
3.116640782	29.10491506
2.891866886	26.20916165
2.739221954	23.14236688
2.494319065	20.40464594
2.267867778	17.64124419
2.088384165	14.41395527
1.83341678	11.3642359
1.620384821	8.366372994
1.437546376	5.214916618
1.169159638	2.252550616
0.961159927	0.116340466
0.513289601	-3.509950999
0.306967306	-6.557966815
0.145935268	-8.839630516
-0.224773871	-12.42171248
-0.323741491	-16.08441485
-0.622321717	-19.4080673
-0.857160084	-22.74397457
-1.093675892	-25.78355111
-1.281546586	-29.11330655
-1.541546218	-32.25085846
-1.762965257	-35.09762644
-1.927352127	-38.15592894
-2.167222767	-40.68305835
-2.353416045	-43.59927441
-2.599996349	-46.00727857
-2.739221954	-48.45512982
-2.995866754	-51.19191009
-3.213930961	-53.45874102
-3.497414417	-55.84198101
-3.70038188	-58.09995391
-3.973800866	-60.41755068
-4.133155462	-62.63164884
-4.416638944	-65.43093693
-4.664896665	-67.58162991
-4.970186554	-70.18398578
-5.344250551	-73.12082187
-5.662959769	-75.65543621
-6.048765677	-78.08700646
-6.322184638	-80.57371912
-6.637539049	-82.87533456
-7.006570772	-85.26934817
-7.290054254	-87.58055037
-7.685924659	-89.81788993
-8.031472558	-92.06637912
-8.491084821	-94.89076809
-8.86179396	-97.77588873
-9.254309558	-100.5565438
-9.633405778	-102.9347278
-10.04101812	-105.6356912
-10.46708204	-108.4418434
-10.95353296	-111.0725131
-11.35611305	-113.8478801
-11.83082206	-116.1273852
-12.25520854	-118.4429975
-12.61249837	-121.1767332
-13.02011069	-122.586492
-13.29352967	-124.8855957
-13.65081949	-127.3901258
-14.01985123	-130.154352
-14.46604414	-132.3227673
-14.89378548	-134.8861017
-14.76630179	-131.9406372
-14.52475373	-129.6112388
-14.3335282	-127.3854582
-13.92423845	-124.2798515
-13.69275491	-122.1439679
-13.47972295	-120.0115663
-13.22475557	-117.0827236
-12.90101408	-114.2496562
-12.49507918	-111.4716765
-12.18978929	-108.7459555
-11.86940263	-105.8403508
-11.61443527	-103.4545541
-11.28062928	-100.9489451
-10.95353296	-98.58743214
-10.58282379	-95.95696471
-10.25237266	-93.73222871
-9.906824763	-91.08396642
-9.569663944	-88.72734581
-9.269406302	-86.28425013
-8.883600394	-84.20989096
-8.647084585	-81.94242864
-8.294827022	-79.8785001
-7.887214706	-77.53794977
-7.625537657	-75.30084712
-7.311860662	-73.00945104
-6.983086948	-70.70091027
-6.639216465	-68.46289511
-6.290313734	-66.10601389
-5.996765756	-63.7644141
-5.693153282	-61.24388527
-5.319089286	-58.67971701
-4.985283298	-55.97640465
-4.690057905	-53.05824122
-4.305929412	-50.11299918
-4.007349186	-46.89479296
-3.688639968	-43.59976087
-3.43535	-41.33696423
-3.252511554	-39.18470003
