"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH6"	
-0.15375	-7.293
-0.0645	-17.11
-0.0765	-25
-0.12025	-30.14
-0.18225	-30.27
-0.16575	-20.32
-0.14475	-10.55
-0.1385	-12.48
-0.15675	-15.96
-0.19125	-17.89
-0.25325	-21.93
-0.29725	-26.1
-0.34425	-30.92
-0.36225	-36.28
-0.415	-42.84
-0.43025	-48.53
-0.45005	-38.21
-0.412	-27.8
-0.33075	-17.48
-0.246	-28.71
-0.246	-39.45
-0.258	-49.91
-0.32775	-60.09
-0.403	-72.06
-0.487725	-82.98
-0.61485	-72.2
-0.61635	-62.2
-0.581375	-52.06
-0.527175	-42.06
-0.44845	-31.01
-0.3925	-41.88
-0.3925	-51.65
-0.406	-61.6
-0.447025	-72.06
-0.528575	-81.65
-0.56165	-71.92
-0.563175	-61.79
-0.5572	-51.28
-0.512	-41.05
-0.440825	-30.78
-0.3985	-40.96
-0.3955	-51.65
-0.4015	-61.28
-0.4332	-71.47
-0.5089	-81.56
-0.61185	-71.37
-0.045	-53.3
-0.29275	-35.87
-0.332	-24.72
-0.3335	-11.47
-0.4045	-1.147
-0.924475	6.605
-1.455	-0.2294
-1.8191	-10.37
-2.278425	-20.14
-1.5395	-20.64
-0.676575	-19.91
-1.157275	-20.09
-1.6695	-20.46
-2.177475	-20.55
-1.772425	-10.5
-1.272175	-8.991
-0.765925	-2.064
-0.2415	-0.367
0.0805	-1.147
0.06375	-2.385
0.03975	-7.247
-0.02225	-11.33
-0.07225	-16.88
-0.0845	-27.16
-0.0935	-37.2
-0.14175	-42.2
-0.1615	-47.48
-0.3805	-58.03
-0.435	-68.16
-0.501675	-78.21
-0.580075	-88.8
-0.70415	-98.57
-0.790375	-108.9
-0.8718	-118.8
-0.974675	-129.2
-1.0743	-139.5
-1.163475	-150.2
-1.24515	-160.9
-1.3374	-171.5
-1.45525	-181.6
-1.558	-192
-1.6775	-202.4
-1.8014	-212.9
-1.893575	-223.4
-2.016	-233.5
-2.12345	-243.2
-2.23665	-253.8
-2.3516	-264.1
-2.4603	-274.5
-2.592	-284.5
-2.7007	-294.8
-2.82025	-305.4
-2.947	-315.3
-3.04525	-325.4
-3.17675	-335.7
-3.31	-345.8
-3.41575	-356.2
-3.54125	-366.5
-3.6695	-377.2
-3.783	-388.2
-3.91275	-399
-4.0445	-409.9
-4.1685	-419.8
-4.2985	-430.5
-4.40725	-441.1
-4.54175	-451.4
-4.673	-461.8
-4.8105	-472.6
-4.927	-482.2
-5.066	-492.8
-5.21425	-503.3
-5.35625	-513.7
-5.54075	-523.9
-5.689	-533.7
-5.81475	-541
-5.9315	-530.3
-5.9405	-519.8
-5.937	-509.9
-5.937	-499.8
-5.9135	-489.6
-5.78475	-438.7
-5.32175	-388.4
-4.80325	-338.4
-4.27425	-286.6
-3.7075	-235.6
-3.13775	-185.7
-2.555875	-134.5
-1.96935	-83.35
-1.41925	-32.48
-0.8525	19.36
-0.31725	69.03
0.245	119.4
0.836	169.4
1.4785	219.8
2.1195	269.8
2.774	320.8
3.5365	379.4
4.18025	429.5
4.81775	479.8
5.49275	530.1
6.29525	580.2
7.35525	631.3
8.21775	667.4
8.44275	617
8.30025	565.2
7.80525	515
7.22525	464.8
6.63525	414.2
6.00525	363.2
5.36775	312.1
4.71275	261.8
4.01425	210.2
3.31275	160
2.63325	110.1
1.9775	58.76
1.329	8.761
0.69275	-41.65
0.05625	-92.15
-0.5906	-143.5
-1.26175	-194.4
-1.9509	-244.9
-2.638825	-295.8
