BRI No. 3 (Japan) ws22bs	
-2.2488	-18.86
-1.2669	-9.275
-0.66514	-2.1642
-0.031674	6.4926
0.53844	17.005
1.2036	27.207
2.1222	41.738
2.8506	49.157
3.7691	58.125
4.5293	64.308
5.5112	71.109
6.208	76.985
7.0631	83.168
7.9183	88.115
8.4568	90.895
8.7735	92.443
8.8685	92.132
8.6468	86.567
8.3934	80.077
7.9817	72.346
7.57	65.233
6.8097	56.27
6.0179	46.684
5.1628	38.337
3.9908	28.444
3.0406	21.951
2.0588	12.676
1.1086	4.0192
0.44342	-3.7101
0	-11.13
-0.38009	-17.932
-1.0135	-29.062
-1.5837	-38.337
-2.4072	-48.232
-3.6107	-59.05
-4.8777	-70.491
-6.1446	-79.459
-7.0315	-84.712
-7.6966	-88.733
-8.1401	-91.206
-8.5518	-93.061
-8.6468	-93.368
-8.3301	-86.26
-7.9499	-78.529
-7.2848	-68.636
-6.5564	-59.05
-5.8913	-51.631
-5.0044	-42.356
-4.0858	-34.936
-3.1674	-26.28
-2.2172	-18.241
-1.3303	-10.203
-0.60179	-1.5458
-0.12669	5.256
0.44342	16.386
0.9502	24.734
1.9638	37.719
2.9773	49.157
3.8959	58.432
4.8461	66.781
5.9229	75.13
6.9047	81.62
7.7916	86.878
8.5518	90.588
8.8685	91.513
8.6152	83.787
8.2667	75.437
7.6332	65.233
6.9365	56.888
6.0496	46.995
5.3212	40.192
4.0858	29.371
2.7873	19.478
1.9004	11.749
1.0769	3.0917
0.53844	-2.4734
0.19004	-8.6567
-0.57012	-21.642
-1.1719	-31.227
-1.9004	-42.047
-2.6289	-50.087
-3.5474	-59.05
-4.5926	-67.711
-5.4795	-74.819
-6.398	-81.314
-7.0315	-85.642
-7.8867	-90.588
-8.3934	-93.368
-8.7102	-94.298
-8.4884	-88.422
-8.1083	-81.62
-7.6966	-73.894
-6.9999	-63.69
-6.1129	-54.722
-5.1628	-45.447
-4.2758	-36.792
-3.2624	-27.207
-2.3122	-18.55
-1.4253	-10.512
-0.66514	-1.5458
-0.15837	5.5652
0.31674	13.604
0.88685	22.569
1.6787	34.009
2.3755	42.666
3.1356	51.942
3.8959	59.05
4.9411	67.399
5.8279	74.201
6.6831	80.384
7.6332	85.642
8.3301	89.658
8.6785	91.513
8.9002	91.825
8.6785	85.949
8.3618	78.529
8.0133	71.728
7.5066	63.997
6.8097	55.652
6.0813	47.302
5.1311	38.647
4.466	32.772
3.8325	27.516
2.9139	21.024
2.027	13.604
1.2986	5.5652
0.69681	-1.2367
0.38009	-5.8743
-0.15837	-16.386
-0.79183	-26.589
-1.5837	-38.028
-2.3122	-46.684
-3.0723	-54.722
-4.4342	-65.545
-5.7645	-75.749
-6.6514	-82.239
-7.665	-88.422
-8.3934	-92.443
-8.6785	-93.68
-8.5518	-89.04
-8.2351	-82.857
-7.6016	-73.894
-6.9047	-63.997
-6.0179	-54.104
-5.1311	-45.141
-4.4342	-38.337
-3.5474	-29.68
-2.6923	-22.569
-1.5837	-12.676
-0.91853	-5.5652
-0.09502	4.9469
0	7.1109
0.57012	16.696
1.2036	26.898
1.7103	34.936
2.5655	44.212
3.4524	53.797
4.5926	63.997
5.5112	71.109
6.6514	79.766
7.5382	85.642
8.4251	89.351
8.7735	90.895
8.7735	88.422
8.3934	80.384
8.0133	72.039
7.4748	63.69
6.7781	55.959
5.8595	46.995
4.8777	37.41
3.9275	29.062
2.9773	21.642
1.8054	11.13
1.0452	3.4009
0.28506	-6.4926
-0.063346	-12.676
-0.63346	-22.569
-1.5203	-36.173
-2.2805	-45.141
-3.1674	-55.033
-4.3392	-64.308
-5.2894	-72.039
-6.1763	-78.84
-7.3165	-85.642
-8.0451	-90.277
-8.5202	-92.75
-8.7418	-93.061
-8.4884	-86.878
-7.9499	-77.911
-7.1265	-65.851
-6.303	-56.577
-5.4478	-47.614
-4.6877	-40.811
-3.6425	-30.608
-2.8189	-23.497
-1.6787	-13.604
-0.9502	-5.5652
-0.44342	0.9275
0.19004	12.058
0.76016	23.497
1.2669	33.081
1.9321	44.522
2.3755	51.012
3.2306	61.523
3.8009	68.018
4.4976	76.056
5.0994	81.62
5.5112	84.094
5.5428	82.55
5.1628	75.749
4.6877	66.163
3.8959	55.34
3.1674	45.141
2.2172	30.608
1.6471	21.024
1.0769	11.439
0.41175	0
0.063346	-8.6567
-0.47509	-19.478
-1.1086	-30.608
-1.7421	-40.811
-2.5972	-49.469
-3.7375	-60.905
-4.8143	-68.636
-5.9229	-76.985
-6.9999	-84.712
-7.7283	-89.351
-8.2667	-91.825
-8.7418	-93.061
-8.3934	-85.949
-8.0451	-78.529
-7.5382	-70.802
-6.6831	-60.287
-5.7962	-51.942
-4.7827	-41.738
-3.8325	-32.772
-2.8189	-23.497
-1.8054	-13.604
-1.0135	-5.256
-0.57012	-0.30917
0.031674	8.6567
0.60179	17.932
1.1719	27.516
1.9321	37.41
2.6923	45.759
3.6741	56.27
4.4026	62.453
5.4162	69.254
6.3664	75.749
7.1899	81.002
8.0451	86.26
8.5202	89.04
8.7418	89.658
8.8685	89.658
8.4568	81.62
7.9817	72.346
7.3165	61.523
6.493	52.249
5.5112	43.284
4.371	32.154
3.199	22.879
2.0904	14.531
1.3303	6.8018
0.63346	-2.4734
0.15837	-8.6567
-0.25339	-16.386
-1.0135	-28.444
-1.7103	-38.647
-2.4705	-47.614
-3.4207	-57.195
-4.7827	-67.711
-5.7962	-75.437
-6.8097	-82.239
-7.76	-87.803
-8.3301	-91.206
-8.7418	-93.061
-8.4568	-86.567
-8.1083	-79.766
-7.6966	-72.039
-6.8731	-61.835
-6.0179	-53.178
-5.0677	-44.212
-4.2442	-36.482
-3.4207	-28.444
-2.3438	-18.55
-1.4253	-10.512
-0.76016	-2.4734
-0.25339	4.0192
0.25339	13.604
0.85518	23.188
1.4887	32.463
2.5972	45.141
3.6107	55.34
5.0044	66.163
5.9229	72.964
6.8731	79.147
7.7916	84.405
8.5202	88.422
8.8368	89.97
8.9635	89.351
8.4884	79.766
7.9499	69.873
7.5066	62.142
6.3346	49.469
5.4162	39.883
4.466	31.845
3.4207	23.497
2.2805	13.913
1.4253	6.4926
0.72848	0
0.25339	-6.8018
-0.28506	-16.077
-1.0452	-28.135
-2.1222	-41.429
-2.9773	-51.631
-3.8959	-60.598
-4.8461	-68.018
-5.9863	-76.056
-6.8097	-81.314
-7.8233	-86.878
-8.2667	-89.04
-8.5202	-89.97
-8.6785	-89.97
-8.2351	-83.168
-7.7916	-74.819
-7.1899	-65.851
-6.3664	-56.27
-5.4478	-46.995
-4.7509	-40.502
-3.7375	-29.99
-2.8189	-21.642
-1.7103	-12.058
-0.9502	-5.256
-0.38009	2.4734
0.09502	10.203
0.63346	18.86
1.2669	25.97
1.7737	33.081
2.5022	41.738
3.1674	48.85
3.9592	56.888
4.561	62.453
5.226	67.399
5.5428	69.873
5.6695	70.802
5.4795	66.781
4.9093	58.125
4.371	49.776
3.6425	39.574
3.0723	32.463
2.5972	27.516
1.9954	19.787
1.2669	11.13
0.66514	2.1642
0.25339	-4.9469
-0.41175	-17.314
-1.2353	-29.062
-1.9954	-40.502
-2.6605	-47.302
-3.199	-53.178
-4.1808	-62.453
-4.9727	-68.329
-5.4162	-71.109
-5.7012	-72.657
-5.2578	-66.163
-4.2758	-55.652
-3.4841	-45.141
-2.9456	-37.101
-2.2172	-26.898
-1.5837	-17.623
-0.98188	-9.5841
-0.31674	1.855
0.031674	9.8933
0.50677	17.932
1.2036	27.516
1.9638	37.41
2.8506	46.995
3.4524	53.797
4.4976	62.142
5.3844	68.947
6.1129	74.512
7.0631	79.766
7.8867	84.405
8.5834	87.803
9.0903	89.97
9.9771	92.132
10.864	94.605
11.561	95.534
11.909	95.223
11.814	90.895
11.592	83.787
11.212	76.985
10.642	68.636
10.072	60.905
9.3753	52.867
8.6152	45.759
7.8233	39.265
6.5564	30.608
5.1311	23.188
4.1175	17.623
2.9773	11.749
2.1222	6.1835
1.2353	-0.30917
0.57012	-5.8743
0.19004	-10.512
-0.44342	-22.569
-1.0769	-32.463
-2.2805	-45.141
-3.389	-55.033
-4.8777	-67.711
-6.398	-77.604
-7.76	-85.949
-8.4568	-90.277
-9.2486	-92.75
-10.167	-94.916
-11.022	-95.841
-11.592	-96.46
-11.846	-96.771
-11.656	-91.825
-11.371	-83.787
-10.927	-73.276
-10.167	-63.997
-9.4386	-56.888
-8.5834	-49.469
-7.57	-41.738
-6.7147	-35.864
-5.7962	-29.99
-4.8777	-24.425
-3.7375	-17.932
-2.7873	-12.058
-1.7103	-4.3284
-0.88685	3.0917
-0.38009	9.5841
0.53844	20.714
1.2669	30.608
2.1222	39.883
