Kowalsky & Moyer 2001 No.1	
-5.346	-55.32190823
-5.325	-55.26074526
-5.386	-55.32190823
-5.346	-55.35248972
-5.406	-55.32190823
-5.366	-55.29132674
-5.386	-55.41365269
-5.366	-55.3830712
-5.346	-55.41365269
-5.386	-55.32190823
-5.346	-55.32190823
-5.346	-55.41365269
-5.386	-55.3830712
-5.406	-55.32190823
-5.386	-55.3830712
-5.346	-55.32190823
-5.386	-55.3830712
-5.346	-55.29132674
-5.386	-55.32190823
-5.406	-55.26074526
-5.386	-55.32190823
-5.386	-55.23016377
-5.427	-55.44423417
-5.427	-55.41365269
-5.427	-55.26074526
-5.427	-55.26074526
-5.427	-55.32190823
-5.427	-55.26074526
-5.406	-55.13841931
-5.386	-55.35248972
-5.406	-55.32190823
-5.406	-55.32190823
-5.406	-55.19958229
-5.447	-55.32190823
-5.406	-55.3830712
-5.427	-55.35248972
-5.427	-55.29132674
-5.427	-55.32190823
-5.427	-55.32190823
-5.406	-55.29132674
-5.406	-55.35248972
-5.386	-55.35248972
-5.427	-55.26074526
-5.427	-55.3830712
-5.427	-55.26074526
-5.427	-55.3830712
-5.406	-55.1690008
-5.427	-55.32190823
-5.406	-55.23016377
-5.427	-55.35248972
-5.386	-55.3830712
-5.406	-55.26074526
-5.386	-55.3830712
-5.386	-55.32190823
-5.406	-55.23016377
-5.346	-55.32190823
-5.406	-55.32190823
-5.427	-55.29132674
-5.386	-55.32190823
-5.386	-55.32190823
-5.386	-55.32190823
-5.406	-55.3830712
-5.406	-55.32190823
-5.386	-55.35248972
-5.406	-55.35248972
-5.386	-55.26074526
-5.406	-55.41365269
-5.406	-55.29132674
-5.427	-55.35248972
-5.406	-55.26074526
-5.386	-55.32190823
-5.386	-55.35248972
-5.386	-55.32190823
-5.386	-55.26074526
-5.386	-55.29132674
-5.427	-55.32190823
-5.427	-55.3830712
-5.406	-55.35248972
-5.427	-55.29132674
-5.427	-55.29132674
-5.427	-55.26074526
-5.427	-55.26074526
-5.427	-55.35248972
-5.427	-55.29132674
-5.406	-55.29132674
-5.427	-55.26074526
-5.386	-55.35248972
-5.406	-55.32190823
-5.427	-55.32190823
-5.427	-55.29132674
-5.406	-55.32190823
-5.427	-55.26074526
-5.427	-55.32190823
-5.406	-55.32190823
-5.427	-55.32190823
-5.427	-55.32190823
-5.427	-55.23016377
-5.427	-55.26074526
-5.386	-55.29132674
-5.406	-55.32190823
-5.427	-55.29132674
-5.447	-55.26074526
-5.406	-55.32190823
-5.427	-55.29132674
-5.406	-55.23016377
-5.406	-55.32190823
-5.427	-55.29132674
-5.427	-55.26074526
-5.427	-55.23016377
-5.386	-55.32190823
-5.427	-55.19958229
-5.427	-55.35248972
-5.406	-55.32190823
-5.467	-55.32190823
-5.427	-55.3830712
-5.406	-55.23016377
-5.427	-55.32190823
-5.447	-55.32190823
-5.447	-55.23016377
-5.386	-55.23016377
-5.427	-55.35248972
-5.386	-55.26074526
-5.406	-55.1690008
-5.406	-55.32190823
-5.386	-55.26074526
-5.427	-55.32190823
-5.386	-55.23016377
-5.427	-55.32190823
-5.406	-55.3830712
-5.386	-55.26074526
-5.406	-55.23016377
-5.386	-55.32190823
-5.406	-55.32190823
-5.386	-55.26074526
-5.386	-55.32190823
-5.386	-55.32190823
-5.427	-55.41365269
-5.427	-55.29132674
-5.427	-55.41365269
-5.406	-55.32190823
-5.386	-55.32190823
-5.427	-55.32190823
-5.406	-55.41365269
-5.427	-55.19958229
-5.406	-55.26074526
-5.427	-55.26074526
-5.427	-55.26074526
-5.406	-55.29132674
-5.406	-55.26074526
-5.427	-55.32190823
-5.427	-55.32190823
-5.427	-55.26074526
-5.406	-55.19958229
-5.427	-55.32190823
-5.406	-55.41365269
-5.406	-55.41365269
-5.427	-55.26074526
-5.427	-55.26074526
-5.427	-55.26074526
-5.406	-55.13841931
-5.427	-55.32190823
-5.406	-55.32190823
-5.386	-55.23016377
-5.406	-55.26074526
-5.406	-55.26074526
-5.386	-55.32190823
-5.427	-55.26074526
-5.406	-55.26074526
-5.427	-55.26074526
-5.427	-55.19958229
-5.427	-55.26074526
-5.427	-55.32190823
-5.427	-55.29132674
-5.427	-55.19958229
-5.427	-55.26074526
-5.406	-55.23016377
-5.427	-55.29132674
-5.386	-55.3830712
-5.386	-55.29132674
-5.406	-55.35248972
-5.427	-55.26074526
-5.427	-55.32190823
-5.427	-55.3830712
-5.386	-55.29132674
-5.406	-55.3830712
-5.406	-55.26074526
-5.406	-55.32190823
-5.427	-55.32190823
-5.406	-55.23016377
-5.427	-55.3830712
-5.427	-55.3830712
-5.406	-55.35248972
-5.386	-55.35248972
-5.386	-55.32190823
-5.406	-55.32190823
-5.427	-55.32190823
-5.386	-55.29132674
-5.386	-55.29132674
-5.406	-55.32190823
-5.386	-55.3830712
-5.406	-55.35248972
-5.427	-55.23016377
-5.427	-55.26074526
-5.406	-55.26074526
-5.427	-55.29132674
-5.467	-55.23016377
-5.427	-55.23016377
-5.386	-55.29132674
-5.427	-55.26074526
-5.447	-55.19958229
-5.406	-55.29132674
-5.427	-55.3830712
-5.427	-55.3830712
-5.427	-55.32190823
-5.386	-55.26074526
-5.386	-55.32190823
-5.406	-55.23016377
-5.427	-55.3830712
-5.406	-55.32190823
-5.427	-55.26074526
-5.427	-55.32190823
-5.447	-55.3830712
-5.427	-55.32190823
-5.427	-55.35248972
-5.406	-55.32190823
-5.427	-55.32190823
-5.386	-55.23016377
-5.427	-55.41365269
-5.427	-55.26074526
-5.427	-55.23016377
-5.427	-55.26074526
-5.386	-55.32190823
-5.386	-55.35248972
-5.406	-55.35248972
-5.427	-55.3830712
-5.406	-55.44423417
-5.386	-55.44423417
-5.406	-55.32190823
-5.427	-55.35248972
-5.427	-55.3830712
-5.427	-55.29132674
-5.386	-55.29132674
-5.427	-55.35248972
-5.406	-55.32190823
-5.427	-55.19958229
-5.427	-55.29132674
-5.427	-55.32190823
-5.386	-55.35248972
-5.427	-55.29132674
-5.427	-55.32190823
-5.427	-55.32190823
-5.427	-55.26074526
-5.427	-55.32190823
-5.427	-55.23016377
-5.427	-55.32190823
-5.406	-55.32190823
-5.406	-55.35248972
-5.406	-55.3830712
-5.427	-55.29132674
-5.427	-55.44423417
-5.427	-55.1690008
-5.386	-55.35248972
-5.386	-55.26074526
-5.406	-55.32190823
-5.427	-55.23016377
-5.467	-55.32190823
-5.406	-55.35248972
-5.427	-55.32190823
-5.386	-55.19958229
-5.427	-55.26074526
-5.406	-55.32190823
-5.427	-55.32190823
-5.366	-55.23016377
-5.467	-55.3830712
-5.427	-55.32190823
-5.427	-55.19958229
-5.406	-55.35248972
-5.427	-55.23016377
-5.427	-55.32190823
-5.447	-55.26074526
-5.427	-55.29132674
-5.427	-55.29132674
-5.406	-55.32190823
-5.427	-55.19958229
-5.427	-55.32190823
-5.427	-55.29132674
-5.427	-55.3830712
-5.406	-55.29132674
-5.427	-55.32190823
-5.427	-55.26074526
-5.427	-55.32190823
-5.406	-55.32190823
-5.386	-55.32190823
-5.406	-55.32190823
-5.406	-55.29132674
-5.427	-55.35248972
-5.427	-55.35248972
-5.406	-55.23016377
-5.406	-55.29132674
-5.427	-55.26074526
-5.427	-55.1690008
-5.406	-55.35248972
-5.386	-55.3830712
-5.427	-55.26074526
-5.427	-55.35248972
-5.427	-55.3830712
-5.427	-55.35248972
-5.406	-55.26074526
-5.406	-55.32190823
-5.427	-55.35248972
-5.427	-55.35248972
-5.386	-55.32190823
-5.427	-55.29132674
-5.427	-55.32190823
-5.427	-55.29132674
-5.427	-55.32190823
-5.406	-55.29132674
-5.386	-55.32190823
-5.427	-55.32190823
-5.427	-55.35248972
-5.406	-55.3830712
-5.427	-55.32190823
-5.427	-55.32190823
-5.406	-55.26074526
-5.406	-55.26074526
-5.427	-55.26074526
