"Munro 1976, Spec. 1"	
108.66	120.15
111.4	120.55
113.5	122.52
114.35	122.52
114.35	120.94
113.92	118.17
113.5	114.62
113.08	110.66
112.45	106.32
111.61	100.78
110.98	97.225
110.77	92.879
109.29	88.137
108.24	84.183
107.19	78.649
105.92	75.095
104.87	70.349
103.18	65.607
102.34	61.657
101.29	58.494
99.184	53.752
98.13	49.402
96.025	45.452
94.762	41.499
93.078	36.757
90.97	32.804
89.286	28.061
87.391	22.528
85.286	16.995
83.18	11.462
81.074	7.5095
79.179	3.9523
77.285	0
75.598	-3.1618
73.703	-7.114
71.808	-10.276
69.703	-13.833
68.019	-16.995
65.913	-20.947
64.016	-23.318
62.121	-26.876
59.593	-30.433
57.488	-33.99
54.752	-37.152
52.225	-40.709
50.33	-43.871
47.592	-46.635
45.276	-49.402
42.959	-52.169
40.432	-54.936
37.694	-56.915
35.166	-59.286
31.798	-62.84
29.482	-64.028
26.954	-67.19
24.006	-68.77
21.269	-70.349
18.531	-71.14
15.583	-73.115
12.003	-75.882
9.4762	-77.07
7.1598	-78.649
5.0538	-79.441
2.9482	-80.628
1.0529	-81.02
0	-81.416
-1.8952	-81.812
-5.2647	-84.578
-8.002	-85.37
-11.371	-87.345
-13.898	-87.741
-16.847	-87.741
-19.374	-88.533
-22.111	-90.112
-25.9	-91.3
-28.217	-92.087
-30.323	-92.879
-32.639	-93.671
-34.115	-93.671
-36.853	-94.458
-39.169	-94.854
-41.694	-95.646
-45.065	-96.042
-47.592	-97.225
-50.119	-97.225
-52.855	-98.017
-54.963	-98.808
-56.647	-98.412
-59.174	-99.596
-61.91	-100.39
-65.07	-101.58
-67.386	-102.36
-69.913	-102.76
-72.441	-103.55
-74.968	-104.34
-76.652	-105.13
-79.601	-106.71
-82.126	-107.5
-83.812	-108.29
-85.707	-109.08
-86.548	-109.88
-88.445	-110.66
-89.708	-111.06
-91.181	-112.25
-93.497	-113.83
-95.814	-115.01
-98.13	-117.38
-101.08	-119.36
-103.18	-120.55
-105.71	-122.13
-108.24	-123.31
-110.13	-124.1
-111.82	-124.89
-113.08	-125.29
-113.29	-122.92
-113.5	-121.33
-113.08	-118.57
-112.45	-113.43
-111.82	-108.69
-110.77	-103.15
-109.71	-99.596
-108.87	-94.458
-107.82	-89.716
-106.56	-84.183
-105.71	-79.837
-104.66	-75.882
-103.4	-71.932
-102.34	-67.586
-100.87	-62.84
-99.817	-58.494
-98.763	-55.331
-97.29	-50.194
-95.603	-45.452
-94.341	-42.29
-91.813	-36.757
-89.497	-30.038
-87.391	-25.295
-86.129	-21.343
-83.602	-16.204
-81.918	-11.857
-79.809	-7.114
-77.704	-1.9762
-76.23	0
-74.968	3.1618
-72.652	8.2999
-70.335	12.252
-68.229	15.809
-65.491	20.157
-63.597	23.318
-62.121	26.085
-59.804	28.852
-57.277	33.199
-54.963	35.966
