BRI No. 2 (Japan) spbaa1	
-2.5277	-87.559
-2.8086	-95.85
-3.0093	-100.83
-3.1295	-102.15
-3.0093	-93.199
-2.9089	-84.908
-2.6481	-71.972
-2.4074	-63.018
-2.0462	-51.074
-1.6049	-37.81
-1.1636	-25.87
-0.86263	-16.915
-0.56172	-8.6233
-0.30093	0
0.10031	13.266
0.44135	22.885
0.82252	33.498
1.1034	40.131
1.3642	48.423
1.4644	51.742
1.4444	42.785
1.2639	31.84
0.96295	19.9
0.62191	8.9552
0.42128	0.99498
0.16049	-5.3067
-0.080245	-12.935
-0.30093	-18.573
-0.5216	-26.533
-0.76233	-35.488
-1.0833	-44.111
-1.304	-51.408
-1.4042	-54.726
-1.4845	-52.405
-1.4644	-45.105
-1.2237	-36.152
-0.8827	-24.875
-0.58177	-16.252
-0.32098	-7.9601
-0.18056	-2.985
0	8.9552
0.30093	18.905
0.74228	33.166
1.1636	45.105
1.4444	55.718
1.8056	66.332
2.2068	77.279
2.6882	88.555
3.0293	95.521
3.4105	101.49
3.8317	105.47
4.1928	108.46
4.4336	109.12
4.574	109.78
4.6543	109.78
4.6142	109.78
4.5339	104.14
4.3734	94.854
4.253	86.233
3.9722	75.62
3.7314	63.347
3.5509	54.726
3.3101	45.439
3.0693	37.81
2.7283	27.528
2.3873	16.583
2.0262	8.2915
1.5848	0.66332
1.1836	-7.9601
0.80245	-14.925
0.46142	-18.905
0.24074	-22.553
-0.020061	-26.533
-0.46142	-32.171
-0.82252	-39.8
-1.1636	-46.101
-1.4644	-54.393
-1.8256	-64.01
-2.0864	-71.972
-2.4275	-82.915
-2.7083	-91.54
-2.9491	-96.513
-3.3703	-103.15
-3.7314	-108.79
-4.0123	-112.1
-4.4737	-116.75
-4.6342	-117.74
-4.7746	-117.74
-4.8147	-115.75
-4.7746	-109.45
-4.7144	-101.16
-4.5339	-91.54
-4.4336	-83.248
-4.2128	-73.961
-4.0123	-65.669
-3.7715	-57.048
-3.4707	-48.753
-3.1295	-40.131
-2.7283	-30.845
-2.2669	-23.217
-1.8256	-15.92
-1.3442	-8.2915
-0.7824	0.99498
-0.24074	11.277
0.26079	21.89
0.64196	30.513
1.0633	40.131
1.5246	50.083
1.986	60.362
2.2669	66.995
2.6481	74.957
2.9892	82.252
3.3904	89.881
3.7916	95.521
4.0725	100.49
4.273	103.48
4.3533	105.14
4.3934	103.48
4.3533	99.831
4.2931	93.528
4.1327	84.574
3.9922	76.616
3.7715	66.995
3.5309	58.703
3.27	49.42
2.9691	40.795
2.7083	30.845
2.3873	22.222
2.0262	14.593
1.6651	5.97
1.3241	-0.99498
1.1034	-5.6381
0.86263	-9.6184
0.46142	-15.257
0.12037	-20.895
-0.30093	-28.523
-0.72221	-35.488
-1.1034	-41.458
-1.5046	-48.423
-1.8056	-55.389
-2.1265	-63.018
-2.3873	-69.317
-2.6481	-76.945
-2.8487	-83.248
-3.1897	-90.214
-3.3703	-93.528
-3.6511	-98.506
-3.8919	-103.48
-4.1727	-107.13
-4.3934	-110.77
-4.5138	-111.77
-4.6342	-112.43
-4.6142	-108.46
-4.6142	-102.82
-4.5941	-98.172
-4.4938	-91.54
-4.4135	-84.908
-4.2329	-76.616
-3.9722	-67.328
-3.6712	-58.04
-3.3503	-48.753
-3.0293	-40.131
-2.4475	-27.528
-1.966	-17.578
-1.5046	-10.282
-0.94289	-2.985
-0.48147	4.3117
-0.060184	11.94
0.26079	19.9
0.50154	25.206
0.76233	31.84
1.0432	38.473
1.4042	46.764
1.7855	55.389
2.2268	63.018
2.5678	70.647
2.8889	76.945
3.2299	84.245
3.5309	90.214
3.7314	94.854
3.9922	98.506
4.253	101.82
4.4536	104.14
4.554	104.8
4.5941	103.48
4.4536	97.843
4.2931	89.552
4.0926	78.605
3.7916	67.991
3.571	59.037
3.3101	49.086
2.9491	38.473
2.6481	28.855
2.3071	19.568
1.7855	8.6233
1.4444	0.99498
1.0031	-6.965
0.60184	-13.598
0.5216	-14.925
0.14042	-20.895
-0.28086	-26.533
-0.74228	-31.84
-1.0432	-36.483
-1.4042	-44.111
-1.7052	-49.749
-2.0462	-58.04
-2.3271	-65.669
-2.6681	-74.294
-2.9491	-81.923
-3.2299	-87.23
-3.5309	-93.199
-3.8919	-99.831
-4.1526	-104.48
-4.3132	-106.46
-4.4536	-108.12
-4.5941	-109.45
-4.5941	-104.48
-4.554	-97.843
-4.4536	-89.552
-4.2329	-80.264
-3.9722	-70.313
-3.7314	-61.359
-3.4707	-50.745
-3.0894	-40.463
-2.6079	-29.187
-2.1867	-20.895
-1.6049	-12.935
-1.1636	-6.6332
-0.68209	0.66332
-0.28086	7.9601
0.18056	16.915
0.50154	25.538
0.90277	34.493
1.3642	45.768
1.7454	53.067
2.2068	62.351
2.6681	70.647
3.1496	80.927
3.5309	88.222
3.9722	97.176
4.3332	103.48
4.5138	104.8
4.574	104.14
4.4536	97.509
4.3132	90.214
4.1126	80.264
3.8117	67.991
3.4907	57.048
3.0894	45.105
2.8487	35.488
2.4475	24.543
2.0864	15.588
1.645	6.6332
1.304	-0.99498
0.84258	-8.9552
0.7824	-10.282
0.48147	-14.925
0.18056	-19.236
-0.24074	-25.206
-0.60184	-31.176
-0.8827	-35.82
-1.2639	-42.453
-1.8457	-50.412
-2.1666	-56.052
-2.4877	-64.01
-2.8086	-71.639
-3.1496	-80.927
-3.3904	-85.9
-3.611	-89.881
-3.9521	-96.184
-4.3132	-102.15
-4.5339	-106.13
-4.6342	-106.13
-4.7344	-106.13
-4.8147	-104.14
-4.7545	-97.509
-4.6342	-88.555
-4.4336	-79.267
-4.2128	-70.647
-3.9722	-62.022
-3.7515	-54.726
-3.5509	-48.09
-3.0493	-36.815
-2.628	-28.523
-2.0663	-18.905
-1.5447	-10.945
-1.0231	-3.3166
-0.70214	0.99498
-0.3611	7.2964
0.10031	14.593
0.46142	23.88
0.80245	32.171
1.1034	39.8
1.6049	50.745
2.0262	59.037
2.4275	67.328
2.7885	74.294
3.1295	81.923
3.4707	88.555
3.7715	93.528
4.0123	98.172
4.3533	102.48
4.5339	103.48
4.5339	101.49
4.4135	95.188
4.1727	82.252
3.8919	68.987
3.571	58.374
3.2901	49.086
2.9089	36.152
2.4877	25.538
2.1064	14.261
1.645	3.98
1.1234	-3.98
0.74228	-10.282
0.46142	-14.261
0.080245	-18.905
-0.28086	-23.88
-0.74228	-31.84
-1.1636	-37.81
-1.6651	-45.105
-2.0864	-53.067
-2.5879	-63.018
-2.9691	-71.972
-3.27	-79.267
-3.5911	-85.57
-4.0123	-93.862
-4.1928	-98.172
-4.4737	-103.48
-4.6744	-105.14
-4.6543	-100.16
-4.5339	-91.206
-4.3332	-82.915
-4.1126	-73.631
-3.7314	-61.359
-3.3503	-49.42
-2.8889	-36.815
-2.3673	-26.533
-1.9059	-18.905
-1.2237	-8.6233
-0.54166	2.3217
-0.34105	6.3018
0.040123	13.598
0.50154	23.548
0.90277	30.845
1.3642	41.458
1.7654	50.745
2.2669	60.362
2.6079	68.654
2.9892	78.271
3.4105	86.562
3.7515	92.866
4.0123	96.513
4.2128	98.172
4.3734	97.843
4.3934	93.528
4.1727	83.578
3.912	70.647
3.571	58.703
3.2098	46.764
2.8086	35.157
2.4074	24.212
1.986	13.266
1.5447	3.6483
1.1234	-3.98
0.62191	-11.608
0.28086	-15.92
-0.080245	-21.226
-0.48147	-27.196
-1.0231	-34.493
-1.625	-43.448
-2.0663	-52.071
-2.3873	-59.7
-2.6481	-65.34
-3.1295	-73.631
-3.4305	-81.589
-3.7314	-88.222
-3.9922	-92.866
-4.3533	-99.831
-4.5941	-104.8
-4.7746	-105.8
-4.6944	-98.506
-4.5339	-90.214
-4.2931	-80.593
-3.9922	-69.979
-3.611	-57.378
-3.3302	-47.427
-2.8487	-34.493
-2.3673	-24.875
-1.8858	-16.583
-1.2438	-6.965
-0.68209	0.66332
-0.22068	7.6283
0.060184	13.598
0.44135	21.226
0.86263	29.85
1.2438	38.473
1.645	48.423
2.0864	57.378
2.4475	65.669
2.8086	73.631
3.0693	80.264
3.5108	87.892
3.8117	92.866
4.1327	96.513
4.2931	98.172
4.3734	96.847
4.3332	90.214
4.0324	75.286
3.7113	64.01
3.4707	56.715
3.1295	45.439
2.7685	34.161
2.3673	21.558
1.8658	12.272
1.4845	3.6483
1.0633	-4.6435
0.64196	-10.613
