"Soderstrom, 2001,C1"	
12.34763216	44.9446336
14.67498667	55.24397187
17.15526994	66.29277733
19.40259646	77.477842
21.68914989	85.58561109
21.66658848	80.71412974
21.69998649	76.69431693
19.39104405	67.18987022
16.92372448	54.11981265
14.69544016	43.10507892
12.28981603	32.7375972
9.704649725	22.77890694
7.48751762	13.79677793
5.096182512	7.630820298
2.765974557	3.452029173
0.408460447	-0.193050042
-1.937425258	-2.793452268
-4.405188457	-8.80043159
-6.793032102	-15.715898
-9.185155065	-23.88040249
-11.62955509	-35.40612902
-14.18069891	-45.92123644
-16.58573827	-57.85575444
-18.92468687	-69.00674737
-21.43801864	-79.94201274
-21.31191557	-76.18336571
-18.90859646	-62.98838771
-16.6179575	-51.83740863
-14.09754511	-38.83546681
-11.72101027	-27.72989823
-9.191772381	-16.99903553
-6.662674114	-7.630848021
-4.327248806	-1.033352089
-2.034425731	2.464101439
0.432135016	5.62090696
2.638253664	9.004806532
5.349538215	14.31913722
7.706252215	21.33677724
10.0834175	29.87602919
12.50596693	39.709799
14.99702005	50.25896429
17.40747685	60.97846051
19.86944188	72.52690615
22.20365208	82.58778388
19.6945361	68.93859005
17.4359644	56.62933845
14.71021052	44.08162631
12.42782748	34.31597223
10.07907273	23.65328072
7.437123268	15.72719518
5.073568719	8.062317014
2.649527416	3.951683213
0.351668809	0.465568447
-1.957510251	-2.48684827
-4.396527987	-7.153913089
-6.758216565	-14.80746636
-9.004718112	-23.21044524
-11.79469413	-33.3735243
-14.11975963	-45.31939493
-16.46678609	-55.74365363
-18.99095785	-66.75838736
-21.50675576	-79.29474688
-23.96248725	-87.9589054
-21.41027785	-76.25149531
-18.95160655	-63.204143
-16.33272277	-50.54286304
-14.03184344	-38.16550956
-11.38724776	-27.25294944
-9.023599735	-15.94299206
-6.539098928	-6.81323736
-4.193424861	-0.74948106
-1.781422839	2.645784996
0.815125562	5.757166163
3.22371992	9.970015158
5.594946225	14.9550366
7.931271588	21.31405813
10.29160456	29.4786042
12.59664043	38.80136736
14.78813935	48.21500694
17.21268909	58.78684975
19.45569629	69.0294249
21.75829716	80.38483436
21.85518021	78.54525195
19.45924412	67.55325119
17.15977084	54.40368368
14.68524635	43.87722365
12.35168141	32.30608662
9.898938497	22.4723168
7.648298343	14.89827348
5.429681149	8.993453909
3.238168698	4.871453623
0.582626296	1.794130326
-1.818651504	-2.055351554
-4.130506364	-6.620201179
-6.354713908	-12.9224596
-8.728993181	-21.16647403
-11.26157768	-30.6709346
-13.57827025	-41.93549535
-16.36368504	-54.73302065
-18.92387076	-66.56533732
-21.31263867	-77.71634412
-21.29029811	-75.16139397
-18.80204816	-61.85286201
-16.3776164	-49.98645975
-14.09110975	-38.27904965
-11.72371841	-27.63906338
-9.355330646	-17.58952442
-6.642075729	-7.346963131
-4.226832181	-0.806244177
-1.944654666	2.259712635
0.3526356	5.030431934
2.696251382	8.380259774
5.245308002	13.45614379
7.695201554	20.15581333
10.19249465	28.00238891
12.42519038	36.84824486
14.96833531	48.05602863
17.67399576	58.53703659
19.87802461	70.90307903
22.20491131	79.1357547
19.75423802	68.25726631
17.5288715	56.39089177
14.98275378	44.72887831
12.60629548	33.33942485
9.933692298	22.90382738
7.624112314	14.46674904
5.235788941	8.743654611
2.847754125	4.258259488
0.556938111	0.91977041
-2.584655392	-3.11140889
-5.270457933	-8.425711852
-7.674347227	-16.49942307
-10.30663195	-27.34381201
-12.77234676	-38.04060298
-15.04181982	-47.42012925
-17.42959141	-59.16161107
-19.94454954	-70.13093431
-22.43062083	-82.80356689
-24.80800486	-91.51314977
-27.19350565	-99.50735104
-27.23692928	-96.75932313
-27.86709474	-95.18096195
-25.18178614	-80.31673248
-22.664432	-67.32614328
-20.24663869	-54.31287656
-17.58465093	-42.73035919
-14.97845857	-32.01086297
-12.33910837	-19.98549625
-9.897011334	-9.572604035
-7.238539392	-2.100762048
-4.837884151	2.0212521
-2.60694935	5.212115491
-0.265419245	8.289424926
2.022027266	11.73011534
4.390062542	15.44332415
6.907602949	20.90528053
9.174483369	27.26427434
11.64641554	35.46289214
13.84028772	44.18382764
16.1185384	53.39306456
18.47860002	63.84001465
20.80154219	74.10529505
23.09931049	85.10866229
25.34805949	92.35341023
27.79682383	97.17946722
26.14127463	86.8801151
23.8020288	74.76389968
21.33115364	63.6129206
18.93408853	50.74725184
16.61141867	40.40248923
14.3990879	31.34087799
12.17687448	22.9605905
9.879893632	15.69315117
7.530853227	10.40152574
5.089979699	5.916158335
2.883549892	2.62307975
0.638351334	-0.511006664
-1.905231491	-3.531539121
-4.281792706	-7.153913089
-6.671037639	-12.27517987
-9.145835089	-19.89466141
-11.42205573	-27.71853175
-13.70709251	-37.2343588
-16.20114095	-47.82893458
-19.18376333	-59.58178289
-21.57008023	-70.01739422
-24.18936906	-81.47497729
-26.86401008	-92.78493467
-26.74983649	-89.42375421
-24.1140749	-74.48005637
-21.85615057	-63.62430095
-19.51935772	-51.78060393
-17.07231983	-39.92558202
-14.82374865	-30.47788456
-12.16130928	-19.64483439
-9.731545959	-10.62867523
-7.282965266	-3.611035207
-4.392118167	0.57909468
-2.017492048	3.69050357
0.545610188	6.869986614
3.105249807	11.06013036
5.649442529	15.35247544
7.960561773	19.81515146
10.19327948	25.12946828
12.45166244	32.64676235
14.83253976	41.42447483
17.55765416	50.63371175
19.72346596	61.37588549
21.9840987	70.88035993
24.32345277	81.2024173
26.52881117	90.53654694
24.01667488	74.68443131
21.60804663	63.43122318
19.34709414	52.25751114
17.02750625	42.77575582
14.46739713	32.11303658
12.19923201	23.92581298
9.71110609	16.48802887
7.311405668	10.56051791
4.938771287	6.427123414
2.385084916	2.702561974
0.044006325	-0.374747461
-1.164915833	-1.60113573
-3.455962602	-4.939610947
-6.016135702	-9.27735266
-8.624858694	-16.32907828
