"Saatcioglu, 1999, Specimen RC-7"	
3294	
39.03	72.63025806
39.5	72.97990239
39.82	72.88731812
39.84	72.68028155
39.88	72.48620841
40.01	72.60547055
40.05	72.37139732
40.08	72.16584238
40.08	71.85584238
40.13	70.41325079
39.39	59.83360291
37.7	55.10316377
36.6	51.9401364
35.88	50.90341944
34.81	48.54481463
34.17	47.23994173
33.69	45.30878396
33.29	44.9094838
32.81	43.79832125
32.09	42.11157264
31.95	41.57081531
31.38	41.10630115
30.69	39.35398993
27.54	33.95685595
27.4	33.52609222
26.42	31.86074108
25.58	30.84614756
25.46	29.71834798
24.23	28.43589528
23.47	26.53315406
21.84	24.39133854
21.11	23.08303435
20.55	21.5799491
19.06	19.87887256
18.43	18.03539287
17.22	16.71584568
16.34	14.79526052
13.35	8.491537203
11.66	4.620718659
9.73	0.964267253
7.35	-4.388989934
3.25	-13.26757263
2.47	-14.69335458
0.96	-19.42749786
0.2	-20.44031204
-0.09	-19.55335958
-0.42	-21.39234471
-1.68	-25.08937857
-2.14	-26.02766059
-2.93	-27.55492715
-4.74	-31.82359858
-5.92	-35.53875185
-6.72	-36.27749827
-8.4	-41.21686083
-10.12	-43.50215228
-10.69	-45.06675254
-13.03	-49.51404587
-13.58	-50.42567131
-14.67	-52.30743394
-15.8	-53.20512658
-17.3	-56.28771684
-18.82	-58.09326155
-19.32	-59.27745073
-19.56	-60.06306096
-20.89	-61.40039398
-21.13	-61.95600164
-22.14	-62.89584598
-23.14	-63.42419919
-24.12	-63.59957776
-24.8	-63.91044811
-25.23	-64.87423178
-25.85	-65.54619615
-28.12	-65.50287517
-29.05	-66.68079583
-30.07	-67.51205389
-32.03	-68.77267667
-33.38	-69.3528265
-34.55	-69.83627309
-36.2	-70.53084998
-37.04	-70.96534917
-37.32	-71.55684694
-39.96	-72.21806207
-40.34	-71.31436573
-40.59	-70.90140655
-40.61	-70.59436978
-40.59	-70.01140655
-40.61	-69.63436978
-40.59	-69.28140655
-40.65	-68.98029622
-40.78	-68.479557
-40.8	-68.21252017
-40.8	-68.21252017
-40.8	-68.04252017
-40.8	-68.04252017
-40.82	-67.83548334
-40.8	-67.86252017
-40.8	-67.66252017
-40.49	-61.06659033
-39.59	-54.5932382
-38.56	-53.13061082
-37.27	-49.3594367
-36.22	-47.86381435
-34.34	-43.20514281
-33.58	-42.30247659
-31.5	-37.58409389
-30.15	-34.76391683
-29.21	-33.41452327
-28.88	-32.16558516
-27.91	-31.36173065
-26.38	-28.3848082
-25.12	-26.67791518
-23.81	-24.4835915
-22.19	-22.35326382
-21.73	-20.79501898
-15.68	-11.38731883
-15.41	-10.10725111
-14.32	-8.84549243
-13.86	-7.157225551
-10.67	-2.063784125
-10.31	-0.570352493
-9.41	-0.156771472
-9.31	0.548071028
-8.46	2.054233505
-5.17	8.882574093
-3.37	12.41976008
-1.33	16.82257522
-1.09	18.09820071
-0.28	18.62843686
1.54	22.82859706
1.58	23.14453464
2.29	24.24992643
2.85	26.22305208
3.85	27.51148996
3.9	28.06891182
5.11	30.00851979
5.77	32.06648674
8.23	35.81162805
9.33	37.07489747
10.59	40.50191047
11.85	41.20891779
12.55	43.20280804
14.14	44.78877942
15.21	46.87757107
15.5	47.12060706
16.84	48.24945717
17.17	49.50842619
18.38	51.44797375
20.13	52.46763373
20.58	53.63440015
23.68	56.3343067
24.18	57.78847824
25.25	58.94719843
26.35	59.90035853
26.64	60.35337169
27.99	61.10359527
28.11	61.43139211
28.61	62.19554409
30.16	63.15539969
30.25	63.57874541
31.33	64.49888746
31.61	65.23040377
33.38	67.0428265
36.27	68.64122525
36.88	69.11163571
37.86	69.83687557
38.08	70.07947876
39.15	70.23803987
39.38	70.44212114
39.89	69.99769012
39.03	54.89025806
38.01	53.52910508
36.67	49.68051132
35.86	47.90045499
35.47	46.50264725
33.31	42.77244885
32.62	40.88015203
32.28	39.75974296
31.45	39.29668026
28.66	33.50295915
27.33	32.27571029
23.49	26.49612099
12.04	7.027116766
11.02	5.735731098
7.37	-1.186021321
5.04	-6.901870693
3.65	-9.008197524
1.6	-14.34249658
-0.25	-16.57710995
-2.35	-21.74883276
-6.23	-29.38476625
-7.41	-30.1799159
-9.86	-34.81356232
-14.77	-43.50227426
-16.25	-44.48190497
-21.28	-51.53825622
-25.83	-56.00322961
-29.91	-60.56832783
-31.26	-61.52850825
-31.7	-62.55374812
-32.96	-63.26055982
-34.68	-65.30554396
-36.99	-66.09793875
-37.99	-66.93614116
-38.58	-68.09357459
-40.52	-68.65103521
-40.96	-68.99622538
-40.97	-68.54770695
-40.99	-68.27067007
-39.99	-55.89250716
-38.96	-54.25988525
-38.65	-52.94394775
-36.01	-47.48268825
-35.1	-45.82780233
-32.67	-40.12756502
-31.74	-39.30967892
-30.12	-34.92946824
-29.28	-34.42490395
-28.24	-32.55067185
-27.78	-31.31245049
-24.78	-26.69748139
-23.78	-25.88914117
-21.56	-22.14979766
-18.59	-17.12913398
-17.77	-16.69745913
-15.89	-12.41848235
-15.05	-12.05382688
-13.77	-9.903868871
-3.42	10.27233819
-2.73	11.65476053
-0.66	15.71202976
0.3	17.78453193
2.6	22.81594245
3.11	23.44164604
5.44	28.88750337
6.73	30.48898259
9.12	34.39372814
10.88	38.34495236
12.54	40.0313239
15.48	44.32763907
16.69	46.09719832
16.91	46.77984459
18.26	47.71016777
19.6	49.41899597
19.84	50.49460575
21.06	51.32561611
21.91	52.90172367
23.39	53.70128629
24.3	54.59627911
25.18	56.38681516
26.4	57.59777464
27.68	58.3076195
28.33	59.95401927
30.23	61.4057797
32.12	62.57602061
32.83	64.13128641
34.45	64.68144921
35.07	65.87335537
37.36	67.73277511
38.88	68.50803053
39.03	67.94025806
39.72	67.73250085
40.17	68.14917749
40.2	67.70362251
38.6	53.68653836
35.88	47.42341944
34.88	45.65519106
34.04	43.5306701
33.79	42.32360871
32.67	41.22756502
30.68	36.42250712
29.54	35.42346032
29.35	34.39528457
28.75	34.10630621
27.83	32.51986596
25.66	29.36801388
24.75	27.41303131
23.1	25.50826521
22.32	23.53255012
20.79	21.82555733
20.49	20.61104698
19.56	19.88306096
18.07	16.6319748
13.28	9.411148513
12.4	7.280546011
10.19	2.922541847
8.57	0.722093524
0.8	-14.7012482
-0.37	-16.56492272
-2.45	-21.45367664
-5.92	-27.30875185
-7.57	-30.65366475
-9.64	-34.4409091
-14.43	-42.28181697
-15.94	-43.1659022
-17.68	-46.07410433
-19.15	-47.36222659
-22.61	-51.52557294
-24.8	-54.43044811
-26.54	-55.48853965
-29.09	-58.68672772
-31.24	-60.31554275
-32.48	-62.46939551
-34.46	-63.5529316
-34.62	-63.84664974
-35.86	-64.41045499
-36.67	-65.08051132
-37.72	-65.85612776
-38.39	-66.92541856
-39.01	-67.25729441
-39.32	-67.78323044
-39.65	-67.01212868
-40.2	-65.19362251
-36.44	-48.09642207
-35.29	-46.03596614
-34.43	-44.83848442
-33.44	-42.83172157
-32.57	-41.46273901
-30.6	-37.10064462
-29.52	-35.01049447
-28.76	-32.89778921
-27.98	-31.9921122
-26.64	-30.07337169
-25.8	-28.4287798
-23.85	-26.62952525
-23.23	-24.7775506
-21.78	-23.22243697
-20.71	-21.88368797
-20.09	-21.04169887
-19.35	-19.24190203
-18.44	-17.3168767
-17.66	-15.92113659
-17.2	-15.30287788
-16.48	-14.88603572
-15.73	-13.56473874
-14.89	-11.79008257
-14.49	-10.73072124
-13.46	-9.747862241
-12.87	-8.150300038
-12.44	-6.98648256
-11.08	-5.194636248
-10.22	-3.446994513
-9.5	-1.720129694
-8.53	0.693843573
-7.71	1.265555059
-6.88	3.108752614
-6.33	4.470390441
-5.5	5.483590551
-4.86	6.818589109
-4.49	8.423510463
-2.99	10.71616655
-2.9	11.559526
-2	12.83312088
-0.42	16.02765529
0.34	17.28046952
1.79	21.00570689
2.85	22.81305208
3.61	24.51586497
4.9	26.49734832
6.23	29.52476625
7.38	30.62546298
9.78	35.32168844
10.3	36.39886827
11.11	36.75908882
13.09	40.91295053
13.67	41.57902807
14.71	42.25337007
15.88	44.25699838
16.72	45.7516501
18.82	47.65326155
20.05	49.835764
21.91	51.04172367
23.53	52.55205485
24.65	53.99819763
25.28	55.67164839
27.87	57.88579831
28.52	59.08219691
30.5	60.4758164
30.81	61.14178354
32.04	62.15415933
33.91	63.60139826
34.17	63.91994173
35.83	64.61600831
36.83	66.27422519
38	67.51762312
39.29	68.25878507
41.22	69.16474559
41.62	69.84400561
43.92	71.28470641
49.85	72.68274992
51.26	72.92144134
53.28	73.02035748
54.83	73.10967417
56.41	73.82338342
56.98	72.46768464
59.27	72.38630482
59.48	72.00735213
60.39	71.97188019
60.48	71.74518425
60.26	60.96266292
59.1	55.75117064
58.27	55.04844843
56.38	50.62894634
55.86	50.11203426
53.74	45.96841733
53.54	45.28882656
52.47	43.89050374
51.8	41.86135666
51.04	41.4688818
50.4	39.96415841
49.66	37.9546258
47.89	36.49259861
47.13	35.0000741
46.2	33.76236714
45.44	33.02982238
44.85	31.80244599
44.48	30.98764792
43.11	29.37472922
42.41	28.96103752
41.39	27.49993137
40.69	26.36622264
39.96	25.04806207
38.69	24.51987524
30.49	14.68433357
29.3	12.85786985
27.78	11.77245049
26.82	10.35006913
24.84	8.166381544
23.91	6.718425861
22.03	5.819526659
20.15	2.850601159
19.15	2.982226589
17.81	1.333394586
14.55	-2.490374512
13.4	-4.491042318
12.73	-5.660477658
11.43	-6.363417314
9.25	-9.996976542
9.14	-10.29330335
8.09	-11.61915195
7.61	-13.03039805
6.39	-14.42148446
6.09	-15.32601443
4.49	-16.42351046
3.51	-18.28897879
2.53	-19.61444826
2.41	-20.52226091
1.65	-21.15507461
1.27	-22.48148159
0.13	-23.76070283
-0.09	-22.89335958
-0.16	-22.80375037
-0.2	-22.80968796
-0.2	-22.69968796
-0.54	-23.89015747
-0.61	-24.35054826
-1.52	-26.34562827
-3.02	-28.4282866
-3.9	-30.51891182
-4	-31.26375554
-4.59	-31.66133317
-5.31	-32.58820683
-6.14	-33.58140725
-6.9	-34.68421602
-8.43	-38.05131366
-9.43	-39.60973997
-11.08	-40.78463625
-12.22	-42.50383146
-12.94	-43.82068885
-13.22	-44.1422439
-14.46	-45.0462691
-15.6	-46.48544695
-16.41	-47.78564813
-17.13	-48.54249058
-18.23	-49.73571627
-18.27	-50.16165161
-20.04	-52.00428028
-20.49	-52.66104698
-21.42	-53.24902701
-22.54	-53.61518818
-22.66	-53.8729906
-23.93	-55.41139272
-24.71	-55.96709785
-25	-56.36011513
-25.54	-56.37021438
-26	-57.3384451
-27.12	-58.50456422
-27.98	-58.8021122
-28.64	-59.51999313
-30.29	-60.31467681
-30.88	-61.64216308
-32.36	-62.34160403
-33.63	-63.28988905
-34.6	-64.08368499
-35.29	-64.70596614
-36.44	-65.29642207
-38.11	-66.2239246
-38.82	-67.08913944
-39.78	-67.58139123
-40.99	-68.76067007
-44.8	-69.63504096
-45.88	-70.27498096
-47.28	-70.27228362
-48.33	-70.66774012
-50.5	-71.7189594
-52.52	-71.80790245
-53.17	-72.55408174
-53.76	-70.92137636
-54.72	-71.34340153
-55.91	-71.54942988
-56.12	-71.75049094
-57.22	-71.36317803
-57.32	-70.79796661
-58.01	-71.24000252
-58.34	-71.45879902
-58.82	-71.0897719
-59.23	-71.59039095
-59.73	-70.18431206
-59.82	-69.50761732
-59.84	-69.86057402
-59.91	-69.28092242
-59.91	-69.08092242
-60.28	-69.88561945
-60.7	-70.39770458
-60.77	-69.47805175
-60.75	-69.44509543
-60.75	-69.26509543
-60.75	-69.02509543
-60.8	-69.24248622
-60.77	-68.85805175
-60.82	-68.76544253
-60.77	-68.82805175
-60.73	-68.3021391
-60.35	-61.69596722
-60.18	-57.92083674
-59.8	-57.06466061
-58.79	-54.16533623
-57.72	-52.00711899
-57.34	-50.9909243
-56.82	-50.80402177
-55.89	-48.25647164
-55.31	-46.9006794
-54.89	-45.83855005
-53.6	-44.05770387
-52.86	-42.22821256
-52.55	-41.56234166
-51.65	-40.83915847
-50.64	-38.55968051
-50.12	-37.03271473
-49.62	-36.91870485
-48.59	-34.94623135
-48.19	-33.95701362
-47.12	-33.65859346
-46.26	-32.57125187
-45.69	-31.10684467
-45.52	-31.18166962
-44.21	-29.53765885
-43.97	-28.33211209
-43.32	-28.51583534
-41.73	-26.04030172
-41.44	-24.99733888
-40.59	-24.94140655
-39.61	-23.7262017
-38.35	-22.01949091
-37.87	-20.88835754
-37.03	-20.96386708
-35.06	-18.57187305
-33.94	-16.57584563
-33.69	-15.43878396
-32.2	-15.25788182
-31.98	-14.22526333
-31.41	-14.45074935
-30.41	-12.44247092
-30.41	-12.92247092
-28.95	-11.60596606
-27.52	-9.153889717
-27.36	-9.880159695
-25.54	-7.720214383
-25.09	-6.103465179
-23.8	-6.122108055
-22.32	-3.592550116
-22.11	-3.801395261
-20.04	-1.804280283
-19.4	-0.609320851
-18.7	0.324544097
-17.77	2.042540868
-16.13	2.53590249
-13.43	6.066590037
-12.58	8.09273957
-10.55	9.354026368
-9.62	10.97205938
-9.02	12.20111445
-7.79	13.62368069
-6.64	14.69437631
-3.88	18.44405692
-2.75	20.16179176
-1.95	21.72054284
-0.56	23.20687373
-0.23	21.97585885
-0.09	22.06664042
0.67	25.03945464
2.22	27.02953571
3.32	28.78281802
4.11	30.38008361
5.58	31.55828422
6.85	33.71679443
7.23	34.73319837
9.4	36.19528722
10.24	37.51996296
10.83	38.67753137
11.33	39.03174089
12.19	39.53937902
13.5	41.00379861
14.03	42.11245473
15.36	43.10983112
16.2	44.54448521
17.31	45.01920073
17.77	46.11745913
19.01	46.51145363
20.17	47.88356858
20.96	49.17077959
23.63	50.29688944
25.06	51.81901517
25.25	52.11719843
26.8	52.79710276
27.45	53.92350786
28.97	54.45893202
29.16	55.31710848
30.71	56.02695554
32.19	56.49639917
33.23	57.09058862
34.33	58.4936604
34.57	58.83923785
35.98	59.39824162
36.9	60.77459991
38.53	61.56616515
40.91	62.70881754
42.92	63.55658503
43.96	64.06063096
44.6	64.94542049
46.75	66.19380839
49.45	67.00354054
50.01	67.57643292
52.81	68.74081414
55.5	70.00878445
59.46	70.62439528
59.57	69.78065785
60.46	69.6722278
60.41	61.87483666
58	52.76852381
56.12	49.11049094
55.74	48.8142846
55.16	46.83849072
54.86	46.55411212
51.75	40.6839573
50.57	39.05932
49.45	37.23354054
49.11	37.18321046
48.2	35.74849409
47.46	34.21893457
47.09	33.4441515
45.75	32.69572987
44.73	30.88467387
44.22	29.29913995
42.77	28.66436556
40.62	25.11585139
