"Sritharan 1996, Specimen No. IC3"	
37.39	236.8
35.85	211.8
34.13	186.3
32.27	159.4
30.43	135
28.48	108.5
26.45	83.54
24.17	57.37
21.71	30.31
19.36	8.404
16.66	-11.16
14.25	-27.81
11.7	-44.88
9.066	-62.31
6.646	-77.37
4.07	-92.46
1.417	-107.4
-1.093	-121.4
-3.692	-135.1
-6.107	-147.5
-8.725	-160.7
-11.19	-174.2
-13.82	-188.5
-16.32	-203.9
-19	-222.8
-21.43	-240.9
-23.98	-261
-26.51	-281.5
-28.9	-293.5
-31.45	-307.8
-33.95	-324.9
-36.45	-341.9
-39.01	-360
-41.45	-377
-43.98	-389.9
-44.7	-390.6
-44.81	-364.7
-43.78	-339
-42.63	-313.4
-41.14	-286.3
-39.48	-258
-37.03	-234.2
-35.02	-207.1
-33.07	-176
-31.37	-148.1
-29.73	-122.6
-27.94	-95.42
-25.57	-65.05
-23.71	-41.25
-21.13	-16.55
-18.61	-2.935
-15.88	19.28
-13.35	39.55
-10.85	59.76
-8.216	78.02
-5.908	91.13
-3.427	106.5
-0.93	117.4
-0.29	120.5
2.129	137.1
4.7	150.4
7.206	163.3
9.756	175.9
12.36	188.8
15.01	202.9
17.49	216.2
20.08	232.2
22.6	249
25.16	266.7
27.72	285.2
30.25	302.6
32.87	320.6
35.44	337.5
38.02	349.2
40.55	363.2
43.1	383.1
45.57	395.3
48.08	402.2
50.63	412.2
53.14	418.3
55.65	416.5
58.16	423.7
59.71	422.8
59.81	410.2
59.51	382.9
58.11	355.7
56.78	331.4
55.27	305.4
53.61	277.7
51.98	251.7
50.32	226.1
48.47	197.8
46.75	173.3
44.74	147.7
42.6	121.4
40.41	95.61
38.15	69.85
35.64	43.52
33.18	19.24
30.63	-3.072
28.08	-18.77
25.46	-34.22
22.91	-47.92
20.33	-63.07
17.67	-76.86
15.15	-88.81
12.63	-101
10.12	-112.6
7.586	-124.5
4.77	-136.5
2.355	-146.1
-0.24	-156.4
-2.783	-167.2
-5.352	-177.1
-7.945	-188
-10.73	-198.8
-13.22	-209.2
-15.77	-221.2
-18.52	-234.9
-20.99	-248
-23.5	-262.8
-26.29	-279.7
-28.68	-290.5
-31.29	-301.8
-33.99	-316.9
-36.42	-331.4
-39.02	-347.3
-41.54	-361.6
-44.27	-377.3
-46.75	-390.4
-49.42	-402.3
-51.87	-412.2
-54.48	-419.8
-56.92	-424
-59.43	-430.6
-59.86	-427.9
-59.89	-426.6
-59.99	-400.9
-58.98	-373.2
-57.94	-349
-56.61	-322.9
-55.1	-295.6
-53.66	-271.5
-51.86	-244.5
-49.45	-228.1
-47.57	-200.9
-45.89	-175.7
-44.19	-150.3
-42.16	-123.2
-40.07	-98.88
-38	-74.25
-36.14	-46.24
-33.52	-18.74
-31.08	1.537
-28.53	15.02
-25.97	31
-23.42	45.26
-20.76	60.11
-18.26	72.91
-15.61	85.63
-13.21	98.04
-10.7	109.6
-7.964	122.2
-5.475	133.4
-2.871	143.7
-0.284	152.7
2.362	163.6
4.978	172.2
7.596	182.1
10.12	191.5
12.82	200.7
15.2	209.3
17.78	219.5
20.44	229.9
22.9	240.2
25.42	251.7
28.03	264.1
30.63	277.5
33.27	290.9
35.73	304.8
38.54	318.5
40.94	329.6
43.63	342.8
46.22	355.4
48.78	368.1
51.42	381.2
53.94	388.7
56.45	399.2
58.98	405.2
59.7	403.6
59.79	402.8
58.92	375.6
57.71	351.9
56.28	326.7
54.76	300.6
53.19	275.6
51.43	247.7
49.88	224.3
48.15	198.9
46.16	171.4
44.3	147.7
42.12	122.6
39.76	95.22
37.53	71.29
34.96	45.21
32.46	24.02
29.93	3.511
27.32	-12.65
24.8	-26.85
22.29	-40.77
19.74	-54.62
17.07	-67.84
14.56	-79.91
12.02	-92.11
9.516	-103.8
6.89	-115.9
4.432	-126.3
1.718	-137.2
-0.743	-146.9
-3.326	-156.5
-5.779	-166.2
-8.304	-175.4
-10.97	-186.6
-13.37	-195.4
-16.02	-205.2
-18.5	-215.8
-21.16	-227.3
-23.62	-237.9
-26.15	-250.9
-28.73	-264.4
-31.4	-278.9
-33.77	-288.5
-36.38	-298.2
-38.82	-309.3
-41.33	-321.6
-43.89	-334.5
-46.42	-349.7
-48.88	-364.1
-51.51	-378.2
-54	-390.5
-56.46	-403.1
-58.98	-413.7
-60.04	-416.9
-60.22	-418.1
-59.08	-391.7
-57.83	-364.2
-56.87	-337.1
-55.41	-309.2
