"Arakawa et al. 1987, Spec. 16"	
8.5244	130.09
9.4611	138.26
10.445	145.87
11.569	152.95
12.365	159.48
13.302	164.93
14.051	168.73
14.66	170.37
15.175	173.09
15.363	173.64
15.409	170.91
15.316	164.93
15.222	155.13
15.034	144.24
14.707	132.81
14.379	123.56
14.051	111.58
13.677	100.15
13.302	88.177
12.88	75.66
12.365	64.228
11.943	55.518
11.569	46.809
11.054	38.102
10.398	26.127
9.6484	15.785
8.899	7.6202
8.1966	0.54433
7.4472	-3.2659
6.1825	-10.342
4.6838	-18.506
3.5128	-23.95
2.3419	-31.026
1.3114	-40.279
0	-51.711
-1.0773	-60.963
-2.1546	-71.848
-3.3255	-83.28
-4.3558	-93.079
-5.5268	-102.33
-6.6977	-112.67
-7.7749	-123.02
-8.9459	-131.73
-10.211	-140.98
-11.569	-151.32
-12.552	-159.48
-13.536	-166.02
-14.285	-169.82
-14.989	-174.18
-15.503	-175.81
-15.784	-176.36
-15.784	-172.55
-15.784	-162.2
-15.503	-151.32
-15.222	-139.89
-14.942	-127.37
-14.567	-116.48
-14.145	-101.78
-13.724	-89.267
-13.302	-76.75
-12.786	-63.138
-12.131	-50.078
-11.663	-39.191
-11.1	-29.393
-10.632	-22.317
-10.211	-15.785
-9.6484	-9.2532
-8.9927	-3.2659
-8.6648	0
