"Ng 1978, Spec. 3"	
-5.1892	-37.555
-5.7658	-38.972
-6.4145	-39.857
-6.919	-40.921
-7.6396	-41.806
-8.4325	-43.4
-9.081	-44.816
-9.7297	-45.528
-10.378	-46.413
-10.883	-47.476
-11.603	-48.361
-12.252	-49.776
-13.261	-50.665
-13.982	-51.902
-14.775	-52.787
-15.496	-53.677
-16.36	-55.091
-17.081	-55.798
-17.73	-56.332
-18.595	-57.217
-19.171	-57.751
-20.036	-58.81
-21.045	-59.344
-22.27	-61.114
-23.64	-62.177
-24.577	-63.24
-25.009	-63.774
-25.801	-64.833
-26.81	-65.189
-27.747	-65.896
-28.397	-66.608
-29.334	-67.315
-29.911	-68.2
-30.704	-68.556
-31.422	-69.441
-32.288	-69.971
-33.01	-70.856
-33.802	-70.856
-34.45	-71.919
-35.387	-72.097
-36.253	-72.453
-36.901	-72.982
-37.838	-73.516
-38.486	-73.867
-39.063	-74.045
-39.494	-74.579
-40	-74.579
-40.361	-74.757
-40.289	-74.045
-40.216	-72.631
-40.145	-71.212
-40.145	-69.971
-40	-68.378
-39.929	-66.786
-39.639	-65.189
-39.279	-63.418
-39.063	-61.292
-38.847	-59.344
-38.56	-57.04
-38.415	-55.447
-38.341	-54.206
-37.983	-52.436
-37.694	-50.665
-37.407	-48.717
-36.83	-46.235
-36.469	-44.463
-35.893	-41.983
-35.387	-39.503
-35.027	-37.378
-34.524	-35.783
-33.873	-33.126
-33.513	-31.709
-33.081	-30.292
-32.576	-28.52
-32.144	-26.926
-31.351	-24.977
-30.775	-23.206
-30.053	-21.08
-29.261	-18.954
-28.684	-18.069
-27.892	-16.297
-27.17	-15.057
-26.452	-13.64
-25.657	-12.4
-24.577	-10.806
-23.856	-9.92
-22.919	-8.3257
-22.198	-7.4401
-21.621	-6.7315
-20.613	-5.6688
-19.315	-4.4286
-18.162	-3.72
-17.153	-2.6571
-16.144	-1.7715
-14.919	-0.70856
-13.91	0.35429
-12.901	1.24
-12.036	1.5943
-10.883	2.6571
-10.018	3.1886
-9.6576	3.72
-8.4325	5.1373
-7.4955	6.3774
-6.4145	7.4401
-5.4054	9.3889
-4.3243	10.983
-3.6035	12.4
-2.955	14.172
-2.3063	15.412
-1.5135	17.892
-1.009	19.486
-0.72072	19.84
-0.21621	20.903
0.86487	23.56
1.5856	25.332
2.5225	27.812
3.2433	29.583
4.2522	31.532
5.1892	33.126
5.982	34.72
6.7747	35.96
7.7838	37.555
8.5766	39.149
9.5857	40.743
10.595	42.16
11.603	43.577
12.324	44.286
13.333	46.235
13.982	47.12
15.135	48.89
16.216	50.131
17.441	51.728
18.811	53.321
19.82	54.913
21.045	56.154
21.982	57.217
22.991	58.636
24	59.7
24.937	60.585
25.875	61.47
26.883	62.533
27.963	63.774
29.116	65.011
30.414	66.252
31.496	66.786
32.576	68.022
33.297	68.734
34.45	69.619
35.316	70.148
36.253	70.856
37.262	71.034
37.983	71.567
38.56	71.919
39.207	71.919
39.639	72.097
40.071	72.275
40.216	71.745
40	70.856
39.784	69.441
39.639	68.2
39.423	66.959
39.423	65.189
39.136	63.774
38.918	62.177
38.847	59.7
38.415	57.925
38.054	55.798
37.694	53.321
37.333	51.55
37.117	49.954
36.756	47.12
36.109	44.463
35.603	41.983
35.1	39.857
34.524	37.378
33.873	34.543
33.226	32.063
32.36	29.229
31.496	26.749
30.414	24.092
29.621	20.903
28.758	18.069
28.037	16.297
27.028	14.172
26.017	12.046
25.369	10.452
24.504	8.6803
23.64	7.4401
22.703	6.3774
21.766	5.3143
20.829	4.6057
19.892	3.5429
18.667	2.48
18.162	2.1257
17.369	1.24
16.36	0.53143
15.568	-0.17715
14.486	-1.0629
13.333	-1.9486
12.324	-2.6571
11.243	-4.4286
9.6576	-5.6688
8.7208	-6.3774
8.1443	-7.9717
7.2794	-9.3889
6.1981	-10.983
5.1171	-12.754
4.6126	-14.172
3.9639	-15.412
3.3873	-17.006
2.7386	-18.069
2.1622	-19.663
1.5135	-21.257
1.009	-22.497
0.21621	-24.269
0	-24.977
-0.50449	-26.571
-1.1532	-28.343
-1.7297	-29.76
-2.5225	-31.355
-3.1712	-32.772
-3.9639	-34.543
-4.3243	-35.075
-5.0449	-36.314
-5.6937	-37.732
-6.2702	-38.972
-6.919	-40.034
-7.3513	-40.743
-7.856	-41.629
-8.3604	-42.16
-8.8649	-43.4
-9.7297	-44.642
-10.451	-45.528
-11.027	-46.235
-11.676	-47.476
-12.54	-48.361
-13.405	-49.602
-14.414	-50.665
-15.568	-52.258
-16.216	-52.787
-17.153	-53.499
-17.874	-54.913
-18.522	-55.447
-19.171	-55.976
-20.036	-57.04
-20.757	-57.573
-21.477	-57.925
-22.198	-59.344
-22.991	-59.7
-23.64	-60.585
-24.216	-60.763
-25.009	-61.47
-25.514	-62.355
-26.307	-62.355
-26.883	-63.24
-27.315	-63.418
-28.324	-64.833
-29.19	-65.545
-30.269	-66.608
-31.206	-66.786
-32.144	-67.844
-33.152	-68.556
-33.802	-69.085
-34.45	-69.263
-35.027	-69.619
-35.819	-70.504
-36.685	-71.034
-37.549	-71.39
-38.27	-71.919
-38.776	-72.097
-39.207	-72.631
-39.639	-72.631
-40.216	-72.631
